State,District,Nitrogen,Phosphorus,Potassium,Soil_pH,Organic_Carbon,Electrical_Conductivity,Soil_Moisture,Soil_Type
Maharashtra,Pune,68.3,50.0,11.7,7.86,0.67,1.36,22.5,Red
Maharashtra,Pune,77.6,42.1,58.1,6.82,1.06,1.23,23.9,Laterite
Maharashtra,Pune,59.3,78.4,39.5,6.49,0.68,1.38,39.8,Sandy
Maharashtra,Pune,69.5,44.1,27.3,5.59,0.58,1.46,48.2,Loamy
Maharashtra,Pune,35.1,31.2,60.8,5.99,0.5,1.46,38.3,Clayey
Maharashtra,Pune,40.8,61.6,53.6,6.14,0.7,1.28,45.4,Clayey
Maharashtra,Pune,77.4,30.8,47.4,6.4,0.55,1.22,38.9,Loamy
Maharashtra,Pune,36.0,59.4,42.2,6.58,0.7,0.64,59.5,Sandy
Maharashtra,Pune,49.8,51.6,20.9,7.93,0.93,1.61,57.4,Laterite
Maharashtra,Pune,57.9,39.2,63.9,6.24,0.54,1.03,43.0,Sandy
Maharashtra,Pune,44.1,30.6,35.0,6.22,0.55,1.73,51.1,Laterite
Maharashtra,Pune,67.5,64.8,20.1,7.61,0.54,0.82,41.4,Alluvial
Maharashtra,Pune,97.4,53.4,49.0,6.21,0.34,1.07,47.1,Red
Maharashtra,Pune,51.2,46.6,61.6,5.64,0.82,1.2,30.3,Loamy
Maharashtra,Pune,69.2,59.1,48.0,6.95,0.92,1.27,40.9,Black
Maharashtra,Pune,57.0,52.1,44.2,6.13,0.62,1.05,36.2,Sandy
Maharashtra,Pune,77.0,32.5,59.9,6.77,0.64,0.53,65.8,Black
Maharashtra,Pune,59.6,46.4,59.2,6.15,0.73,1.14,41.7,Laterite
Maharashtra,Pune,82.0,34.6,51.9,6.88,0.31,0.46,43.9,Laterite
Maharashtra,Pune,55.2,55.2,35.9,6.13,0.94,1.52,18.1,Clayey
Maharashtra,Pune,51.1,27.7,44.0,7.59,0.71,1.23,46.2,Red
Maharashtra,Pune,64.9,38.9,32.9,6.64,0.43,0.78,34.2,Laterite
Maharashtra,Pune,55.7,62.7,26.8,6.02,0.47,0.72,38.7,Alluvial
Maharashtra,Pune,46.4,44.4,59.1,6.96,0.72,1.23,23.3,Clayey
Maharashtra,Pune,43.1,47.7,40.2,6.56,0.53,1.21,52.5,Clayey
Maharashtra,Pune,46.0,33.4,61.6,6.08,0.63,1.02,40.4,Alluvial
Maharashtra,Pune,45.3,43.1,19.7,7.12,0.38,0.63,50.4,Sandy
Maharashtra,Pune,29.7,53.2,38.2,6.89,0.77,1.25,26.5,Clayey
Maharashtra,Pune,63.8,43.7,62.9,6.13,0.87,1.28,63.5,Clayey
Maharashtra,Pune,11.0,34.2,38.4,6.47,0.69,1.29,67.7,Laterite
Maharashtra,Pune,66.2,37.3,60.3,6.06,0.55,0.95,31.0,Sandy
Maharashtra,Pune,74.2,31.5,17.0,7.27,0.7,0.98,68.3,Black
Maharashtra,Pune,62.3,56.2,31.5,6.75,0.85,0.42,35.2,Laterite
Maharashtra,Pune,89.8,55.5,33.5,6.29,0.39,1.63,58.3,Sandy
Maharashtra,Pune,57.3,20.6,69.4,6.34,0.73,1.77,48.4,Laterite
Maharashtra,Pune,25.9,44.3,45.8,6.48,0.34,1.17,25.4,Black
Maharashtra,Pune,73.4,18.9,70.5,5.44,0.87,0.93,53.4,Sandy
Maharashtra,Pune,74.9,41.5,70.8,6.31,0.58,1.06,32.8,Laterite
Maharashtra,Pune,48.8,65.2,75.7,6.97,0.61,1.09,32.7,Black
Maharashtra,Pune,46.0,47.6,38.3,6.37,0.74,1.43,37.0,Loamy
Maharashtra,Pune,48.5,44.6,40.8,6.62,0.89,1.12,46.9,Black
Maharashtra,Pune,77.0,33.1,40.4,7.08,0.5,1.22,67.9,Loamy
Maharashtra,Pune,10.9,48.5,32.7,6.66,0.46,0.73,48.1,Laterite
Maharashtra,Pune,93.7,55.6,39.9,7.39,0.66,0.94,67.8,Clayey
Maharashtra,Pune,70.8,20.9,56.0,6.93,0.61,0.78,53.9,Black
Maharashtra,Pune,60.6,46.5,34.6,6.36,0.58,1.01,39.3,Red
Maharashtra,Pune,51.7,54.6,42.2,7.58,0.64,1.37,57.5,Black
Maharashtra,Pune,26.6,51.5,30.1,6.84,0.54,0.66,20.6,Loamy
Maharashtra,Pune,61.0,56.8,51.5,6.51,0.52,1.14,52.2,Black
Maharashtra,Pune,57.0,40.1,31.0,6.96,0.82,1.43,34.1,Loamy
Maharashtra,Pune,108.7,42.4,42.4,6.77,0.75,1.41,42.8,Black
Maharashtra,Pune,61.7,43.1,57.5,6.65,0.7,1.08,37.7,Laterite
Maharashtra,Pune,51.3,38.1,29.8,6.95,0.69,1.45,19.4,Alluvial
Maharashtra,Pune,55.0,60.6,29.9,5.16,0.81,0.95,21.3,Clayey
Maharashtra,Pune,60.3,53.2,5.0,5.13,0.86,1.56,31.8,Alluvial
Maharashtra,Pune,66.8,40.0,49.5,7.86,0.68,1.27,38.1,Laterite
Maharashtra,Pune,43.0,39.0,45.8,6.9,0.51,1.69,44.4,Red
Maharashtra,Pune,85.7,39.7,33.6,6.17,0.79,1.49,65.8,Sandy
Maharashtra,Pune,80.2,53.6,63.5,5.79,0.55,0.7,35.9,Black
Maharashtra,Pune,65.6,31.5,76.7,6.58,0.67,1.42,52.2,Loamy
Maharashtra,Pune,64.5,48.0,22.9,5.7,0.93,1.26,46.5,Red
Maharashtra,Pune,47.5,39.1,46.3,6.27,0.46,0.87,53.1,Loamy
Maharashtra,Pune,32.8,43.1,33.6,5.89,0.4,1.45,46.1,Alluvial
Maharashtra,Pune,28.9,11.6,42.4,6.97,0.72,0.74,60.6,Black
Maharashtra,Pune,46.0,32.8,47.8,6.02,0.63,1.2,47.4,Clayey
Maharashtra,Pune,42.6,25.7,60.2,6.3,0.58,0.56,23.5,Black
Maharashtra,Pune,89.3,61.7,5.0,5.25,0.46,0.85,48.1,Clayey
Maharashtra,Pune,48.6,42.3,27.6,7.05,0.66,1.49,63.3,Black
Maharashtra,Pune,16.5,53.7,23.1,6.19,0.72,0.83,55.7,Alluvial
Maharashtra,Pune,85.0,50.0,35.9,5.87,0.56,1.12,65.4,Laterite
Maharashtra,Pune,75.4,25.0,66.5,5.76,0.53,1.59,18.7,Sandy
Maharashtra,Pune,50.5,57.2,30.6,7.25,0.59,1.34,47.5,Black
Maharashtra,Pune,40.5,46.4,42.3,6.28,0.64,1.29,19.3,Laterite
Maharashtra,Pune,32.8,39.4,25.0,7.61,0.82,1.55,46.8,Alluvial
Maharashtra,Pune,86.2,25.4,48.3,7.7,0.76,1.06,52.9,Alluvial
Maharashtra,Pune,51.5,37.2,53.7,5.95,0.76,0.8,86.4,Clayey
Maharashtra,Pune,55.7,22.9,20.8,6.13,0.65,1.36,34.1,Black
Maharashtra,Pune,62.9,42.3,52.4,6.43,0.76,1.65,43.1,Red
Maharashtra,Pune,71.1,44.4,23.2,6.68,0.39,1.29,40.8,Clayey
Maharashtra,Pune,111.2,43.8,57.2,6.08,0.64,1.73,35.6,Loamy
Maharashtra,Pune,96.2,56.8,31.1,6.63,0.94,1.41,64.3,Clayey
Maharashtra,Pune,85.7,57.7,33.2,6.88,0.42,1.18,57.3,Red
Maharashtra,Pune,62.7,49.3,31.2,6.38,0.63,1.61,39.6,Loamy
Maharashtra,Pune,60.6,45.4,54.1,6.19,0.66,1.06,38.5,Alluvial
Maharashtra,Pune,53.8,46.0,55.2,5.25,0.46,1.6,49.8,Sandy
Maharashtra,Pune,47.0,57.5,53.0,6.67,0.45,1.38,55.7,Black
Maharashtra,Pune,60.9,44.7,31.7,5.54,0.74,0.96,42.0,Loamy
Maharashtra,Pune,91.6,38.7,33.7,6.33,0.45,0.92,29.9,Clayey
Maharashtra,Pune,44.6,50.5,36.3,5.93,0.61,1.37,22.0,Loamy
Maharashtra,Pune,106.2,37.0,57.5,7.47,0.41,1.22,37.2,Clayey
Maharashtra,Pune,48.0,51.2,57.9,6.56,0.43,1.39,81.8,Black
Maharashtra,Pune,88.4,38.2,27.5,6.78,0.57,1.39,48.0,Clayey
Maharashtra,Pune,29.7,18.1,26.8,6.39,0.39,1.18,42.2,Clayey
Maharashtra,Pune,43.0,46.3,13.8,5.75,0.78,0.91,32.4,Sandy
Maharashtra,Pune,59.8,45.5,55.5,6.59,0.78,1.36,75.3,Laterite
Maharashtra,Pune,71.7,40.7,48.9,7.17,0.77,1.35,61.0,Loamy
Maharashtra,Pune,83.4,33.9,48.9,7.12,0.64,1.27,42.7,Alluvial
Maharashtra,Pune,68.4,49.8,36.6,6.5,0.77,0.75,45.4,Loamy
Maharashtra,Pune,61.8,42.3,42.8,7.21,0.61,0.84,39.0,Laterite
Maharashtra,Pune,51.1,47.3,56.1,5.88,0.67,0.99,62.9,Black
Maharashtra,Pune,29.5,38.0,68.7,7.16,0.91,1.01,42.5,Clayey
Maharashtra,Pune,57.4,20.6,51.0,7.15,0.39,1.08,26.6,Loamy
Maharashtra,Pune,56.4,38.5,53.2,6.78,0.74,1.05,39.7,Black
Maharashtra,Pune,73.0,43.8,67.7,5.86,0.42,0.99,44.3,Sandy
Maharashtra,Pune,64.9,56.3,52.9,6.71,0.61,1.35,70.8,Sandy
Maharashtra,Pune,70.1,44.7,44.0,6.36,0.76,1.42,51.9,Black
Maharashtra,Pune,72.2,37.2,54.1,6.4,0.45,0.77,54.1,Clayey
Maharashtra,Pune,59.2,27.8,41.9,6.09,0.78,1.0,38.3,Laterite
Maharashtra,Pune,22.2,42.9,29.7,7.98,0.58,1.51,28.6,Clayey
Maharashtra,Pune,78.8,55.2,35.1,6.53,0.43,1.17,62.8,Alluvial
Maharashtra,Pune,46.8,47.5,9.4,6.35,0.55,0.9,40.8,Loamy
Maharashtra,Pune,72.6,33.3,45.3,6.58,0.91,1.61,22.0,Sandy
Maharashtra,Pune,77.2,49.7,50.2,6.15,0.81,1.23,59.3,Alluvial
Maharashtra,Pune,58.0,63.0,65.3,6.22,0.91,1.52,80.5,Black
Maharashtra,Pune,51.5,51.3,31.4,6.49,0.97,1.72,51.5,Red
Maharashtra,Pune,70.1,21.0,27.3,6.49,0.44,1.06,24.8,Loamy
Maharashtra,Pune,52.6,58.1,38.3,7.06,0.78,0.64,31.5,Sandy
Maharashtra,Pune,60.6,64.0,54.3,8.27,0.59,1.22,68.5,Loamy
Maharashtra,Pune,29.1,42.9,53.3,6.89,0.41,1.64,65.7,Loamy
Maharashtra,Pune,75.0,36.4,64.9,5.58,0.44,1.63,5.9,Red
Maharashtra,Pune,67.6,25.2,39.2,6.41,0.81,0.53,48.5,Alluvial
Maharashtra,Pune,65.4,36.4,26.9,5.52,0.91,1.66,23.9,Loamy
Maharashtra,Pune,48.9,45.9,20.8,7.1,0.58,0.73,38.6,Black
Maharashtra,Pune,34.1,26.8,15.4,7.22,0.87,1.25,38.0,Loamy
Maharashtra,Pune,95.8,41.4,45.7,6.3,0.57,1.21,34.7,Sandy
Maharashtra,Pune,63.0,39.3,30.6,6.18,0.91,1.43,37.8,Black
Maharashtra,Pune,10.9,56.0,45.2,7.1,0.22,1.83,42.9,Sandy
Maharashtra,Pune,45.3,51.1,49.0,6.01,0.58,1.02,43.5,Alluvial
Maharashtra,Pune,59.5,56.6,44.6,6.23,0.66,1.26,51.7,Clayey
Maharashtra,Pune,72.4,46.7,47.6,7.09,0.37,1.48,50.1,Loamy
Maharashtra,Pune,37.8,44.2,44.9,6.69,0.71,1.68,51.8,Sandy
Maharashtra,Pune,84.5,53.3,38.3,6.96,0.77,1.08,23.0,Loamy
Maharashtra,Pune,42.0,29.7,15.3,5.97,0.88,0.73,40.4,Clayey
Maharashtra,Pune,53.9,44.6,22.2,6.69,0.84,1.41,92.1,Alluvial
Maharashtra,Pune,60.7,39.5,39.7,5.81,0.42,1.63,17.6,Sandy
Maharashtra,Pune,11.7,38.6,64.4,6.7,0.68,1.75,40.9,Loamy
Maharashtra,Pune,85.2,30.8,63.0,6.44,0.44,1.06,38.6,Sandy
Maharashtra,Pune,42.6,33.2,54.6,6.13,0.36,1.32,67.7,Clayey
Maharashtra,Pune,75.5,32.3,40.9,6.7,0.71,1.03,31.6,Clayey
Maharashtra,Pune,28.1,50.3,39.7,6.83,0.68,1.61,46.9,Black
Maharashtra,Pune,51.4,75.6,46.2,6.85,0.82,1.06,28.8,Alluvial
Maharashtra,Pune,54.5,54.0,51.2,6.08,0.77,1.03,72.3,Alluvial
Maharashtra,Pune,43.4,38.2,46.5,5.81,0.61,1.35,39.6,Clayey
Maharashtra,Pune,56.3,43.4,40.7,6.41,0.79,1.86,36.6,Laterite
Maharashtra,Pune,32.6,53.0,16.8,6.13,0.93,1.71,38.8,Black
Maharashtra,Pune,66.1,38.6,15.7,6.84,0.48,0.99,36.2,Clayey
Maharashtra,Pune,56.0,50.9,54.5,6.62,0.56,1.39,21.7,Black
Maharashtra,Pune,20.1,49.5,58.4,5.77,0.9,1.33,34.4,Sandy
Maharashtra,Pune,58.9,60.7,50.4,6.3,0.47,1.57,40.5,Sandy
Maharashtra,Pune,86.3,30.4,32.0,5.66,0.66,1.43,46.1,Red
Maharashtra,Pune,84.5,54.8,29.7,6.68,0.8,0.83,45.4,Laterite
Maharashtra,Pune,44.3,29.0,12.5,6.8,0.48,0.55,50.8,Black
Maharashtra,Pune,109.9,49.4,61.0,5.3,0.83,0.45,45.4,Red
Maharashtra,Pune,51.2,59.0,48.5,6.86,0.57,1.13,27.2,Alluvial
Maharashtra,Pune,52.9,53.5,41.8,6.07,1.04,1.47,21.0,Clayey
Maharashtra,Pune,87.8,51.7,40.2,5.71,0.49,1.11,35.9,Alluvial
Maharashtra,Pune,56.3,26.0,40.5,6.65,0.5,1.42,38.1,Laterite
Maharashtra,Pune,61.0,42.2,20.3,5.56,0.45,1.28,43.8,Alluvial
Maharashtra,Pune,30.4,46.8,34.9,6.13,0.6,1.08,47.6,Sandy
Maharashtra,Pune,34.5,52.5,29.0,6.08,0.72,0.89,52.1,Laterite
Maharashtra,Pune,74.6,43.5,54.8,6.2,0.47,1.56,40.3,Laterite
Maharashtra,Pune,68.4,43.8,31.5,6.27,0.86,1.08,71.2,Loamy
Maharashtra,Pune,75.9,26.6,55.5,6.75,0.81,1.16,38.5,Clayey
Maharashtra,Pune,20.8,69.7,22.1,6.48,0.83,0.94,10.5,Sandy
Maharashtra,Pune,51.1,41.3,55.4,6.67,0.54,1.14,39.3,Alluvial
Maharashtra,Pune,103.1,37.7,51.1,6.68,0.85,1.67,45.5,Black
Maharashtra,Pune,44.9,37.7,38.9,7.16,0.74,0.47,47.8,Loamy
Maharashtra,Pune,40.4,29.1,50.2,7.19,0.58,1.07,49.2,Alluvial
Maharashtra,Pune,45.8,52.3,59.7,5.75,0.57,1.28,31.1,Red
Maharashtra,Pune,79.2,44.4,28.3,6.28,0.5,1.18,57.5,Sandy
Maharashtra,Pune,59.4,47.8,26.4,6.36,0.53,0.55,59.6,Alluvial
Maharashtra,Pune,55.6,41.7,44.6,6.99,0.78,1.03,42.5,Laterite
Maharashtra,Pune,65.7,49.5,64.0,7.17,0.53,1.29,19.2,Laterite
Maharashtra,Pune,58.1,44.0,52.2,6.85,0.65,0.75,52.4,Black
Maharashtra,Pune,74.5,54.6,52.8,5.98,0.69,1.5,48.1,Laterite
Maharashtra,Pune,57.2,30.3,36.9,5.99,0.56,1.38,70.0,Loamy
Maharashtra,Pune,67.9,63.5,54.2,6.91,0.32,1.56,46.2,Alluvial
Maharashtra,Nashik,31.0,31.7,33.2,6.01,0.53,0.57,53.8,Black
Maharashtra,Nashik,66.8,49.7,26.9,6.25,0.47,1.49,41.2,Laterite
Maharashtra,Nashik,48.7,47.2,63.1,7.7,0.96,1.56,60.4,Loamy
Maharashtra,Nashik,71.9,33.1,45.8,7.14,0.78,1.22,64.6,Laterite
Maharashtra,Nashik,51.4,34.4,27.4,6.42,0.72,0.79,47.8,Clayey
Maharashtra,Nashik,71.5,44.2,74.1,6.83,0.51,1.29,24.3,Alluvial
Maharashtra,Nashik,62.8,23.8,44.8,6.41,0.58,0.72,52.7,Alluvial
Maharashtra,Nashik,49.3,46.9,45.0,6.21,0.67,1.12,30.0,Sandy
Maharashtra,Nashik,67.1,46.5,25.4,5.96,0.7,1.13,32.4,Red
Maharashtra,Nashik,41.5,58.9,36.4,6.07,0.58,1.52,75.5,Laterite
Maharashtra,Nashik,11.5,55.6,51.1,6.33,0.66,1.35,21.6,Clayey
Maharashtra,Nashik,49.4,49.9,39.9,6.77,0.54,1.03,29.0,Black
Maharashtra,Nashik,61.6,49.2,27.9,6.31,0.59,1.04,54.5,Loamy
Maharashtra,Nashik,51.0,49.5,40.5,6.2,0.44,1.63,48.1,Clayey
Maharashtra,Nashik,43.4,46.0,23.9,4.75,0.72,1.47,9.6,Laterite
Maharashtra,Nashik,39.8,34.9,55.0,6.32,0.68,1.22,44.7,Black
Maharashtra,Nashik,47.4,52.2,29.4,6.19,0.82,0.97,23.3,Laterite
Maharashtra,Nashik,61.9,33.3,46.9,7.45,0.71,1.75,75.3,Red
Maharashtra,Nashik,34.3,33.9,59.0,6.22,0.53,0.56,32.8,Laterite
Maharashtra,Nashik,55.9,23.0,43.0,6.72,0.86,1.56,53.1,Loamy
Maharashtra,Nashik,5.0,57.8,21.6,6.63,0.42,1.59,83.2,Loamy
Maharashtra,Nashik,63.7,33.5,46.4,7.74,0.49,1.21,66.2,Clayey
Maharashtra,Nashik,65.3,44.5,57.2,7.36,0.47,1.12,45.5,Clayey
Maharashtra,Nashik,54.7,38.7,21.1,6.79,0.61,1.29,38.6,Clayey
Maharashtra,Nashik,86.3,43.6,8.2,6.14,0.84,1.19,30.0,Laterite
Maharashtra,Nashik,49.9,37.8,64.6,6.65,0.71,1.33,26.8,Loamy
Maharashtra,Nashik,29.6,59.9,38.5,7.24,0.66,1.24,50.6,Alluvial
Maharashtra,Nashik,44.2,33.9,47.6,7.02,0.59,1.02,26.8,Laterite
Maharashtra,Nashik,70.3,47.2,45.3,6.79,0.75,1.53,51.1,Black
Maharashtra,Nashik,55.2,26.3,18.6,6.16,0.45,1.13,29.8,Loamy
Maharashtra,Nashik,56.2,33.7,36.7,6.75,0.58,1.43,47.9,Clayey
Maharashtra,Nashik,66.3,57.0,70.9,6.84,0.99,0.97,76.4,Red
Maharashtra,Nashik,26.0,51.3,51.2,5.97,0.55,1.24,27.0,Loamy
Maharashtra,Nashik,34.5,51.7,73.8,6.2,0.77,0.71,37.6,Red
Maharashtra,Nashik,61.4,58.9,26.1,6.64,0.8,1.35,47.8,Laterite
Maharashtra,Nashik,80.0,38.8,43.6,6.45,0.78,1.08,31.7,Sandy
Maharashtra,Nashik,102.1,31.6,58.3,7.55,0.5,1.43,30.5,Red
Maharashtra,Nashik,60.6,34.2,26.0,6.71,0.65,1.01,21.8,Red
Maharashtra,Nashik,45.2,29.2,30.8,6.48,0.59,0.99,23.9,Black
Maharashtra,Nashik,58.3,29.5,5.0,7.08,1.0,1.29,49.3,Clayey
Maharashtra,Nashik,81.7,38.1,47.2,8.14,0.71,1.15,33.3,Clayey
Maharashtra,Nashik,56.1,46.6,60.0,6.62,0.8,1.18,36.1,Loamy
Maharashtra,Nashik,45.8,26.8,13.0,5.55,0.69,1.35,21.3,Laterite
Maharashtra,Nashik,77.9,53.3,46.3,6.27,0.74,1.52,53.9,Sandy
Maharashtra,Nashik,42.2,41.3,62.8,6.21,0.73,1.15,63.4,Alluvial
Maharashtra,Nashik,83.1,47.8,53.7,5.82,0.65,1.34,28.9,Laterite
Maharashtra,Nashik,37.1,46.3,39.5,6.38,0.63,0.64,36.8,Laterite
Maharashtra,Nashik,61.9,38.2,49.3,7.3,0.63,1.15,35.3,Black
Maharashtra,Nashik,96.8,36.1,25.8,5.84,0.61,1.63,52.9,Sandy
Maharashtra,Nashik,69.8,63.0,46.9,6.45,0.6,1.62,91.3,Sandy
Maharashtra,Nashik,37.9,42.4,35.4,6.97,0.85,1.62,36.6,Red
Maharashtra,Nashik,55.8,34.6,43.1,6.56,0.83,1.28,62.4,Red
Maharashtra,Nashik,97.8,39.5,39.3,5.81,0.65,1.06,43.5,Black
Maharashtra,Nashik,68.2,23.8,18.2,6.0,0.58,0.87,44.5,Alluvial
Maharashtra,Nashik,73.9,41.0,57.6,6.72,0.63,1.33,21.4,Sandy
Maharashtra,Nashik,37.5,44.8,46.0,5.74,0.67,1.4,37.6,Black
Maharashtra,Nashik,38.7,34.5,21.1,5.98,0.66,1.35,59.4,Laterite
Maharashtra,Nashik,23.5,69.9,26.2,4.98,0.61,1.53,74.4,Alluvial
Maharashtra,Nashik,94.4,41.6,41.3,6.45,0.73,1.28,48.9,Alluvial
Maharashtra,Nashik,39.6,48.2,66.5,6.28,0.69,1.0,58.1,Red
Maharashtra,Nashik,60.4,52.8,43.3,6.29,0.36,1.18,93.8,Red
Maharashtra,Nashik,35.1,37.9,60.6,5.22,1.12,1.52,48.3,Red
Maharashtra,Nashik,16.0,24.5,62.8,7.52,0.63,1.62,29.7,Loamy
Maharashtra,Nashik,44.1,43.4,55.1,7.9,0.68,1.79,41.4,Black
Maharashtra,Nashik,61.6,58.0,61.4,7.28,0.57,1.5,48.2,Red
Maharashtra,Nashik,94.5,56.4,47.7,6.94,0.73,1.01,51.5,Laterite
Maharashtra,Nashik,69.3,50.8,45.2,6.9,0.62,0.94,30.6,Sandy
Maharashtra,Nashik,79.5,36.9,37.8,6.02,0.6,0.63,48.2,Clayey
Maharashtra,Nashik,89.1,45.0,37.3,6.55,0.63,0.99,30.0,Loamy
Maharashtra,Nashik,44.7,25.9,28.6,6.22,0.55,1.22,39.9,Loamy
Maharashtra,Nashik,72.7,30.1,40.9,6.67,0.85,0.81,5.0,Alluvial
Maharashtra,Nashik,63.7,47.6,59.3,6.76,0.98,0.73,41.7,Laterite
Maharashtra,Nashik,64.7,61.4,22.7,6.54,0.54,1.47,17.5,Alluvial
Maharashtra,Nashik,59.4,51.7,52.2,6.11,0.42,1.41,59.0,Red
Maharashtra,Nashik,53.4,46.9,52.4,5.98,0.55,1.11,24.8,Black
Maharashtra,Nashik,43.6,47.5,55.9,5.37,0.47,1.26,51.9,Clayey
Maharashtra,Nashik,58.7,68.8,63.5,5.7,0.73,0.96,47.9,Sandy
Maharashtra,Nashik,61.4,49.6,27.9,7.84,0.59,0.47,44.5,Clayey
Maharashtra,Nashik,40.1,44.3,59.1,6.88,0.68,0.8,69.3,Clayey
Maharashtra,Nashik,47.6,40.6,71.6,6.34,0.7,1.49,69.0,Alluvial
Maharashtra,Nashik,73.5,43.0,45.6,6.15,0.6,1.79,32.9,Black
Maharashtra,Nashik,63.1,38.5,37.6,6.52,0.5,1.42,37.3,Red
Maharashtra,Nashik,65.8,42.8,47.5,6.99,0.52,1.56,41.2,Laterite
Maharashtra,Nashik,68.9,51.5,39.4,7.71,0.68,1.52,34.1,Loamy
Maharashtra,Nashik,51.2,41.0,43.5,7.16,0.62,0.99,28.1,Loamy
Maharashtra,Nashik,50.6,46.2,63.2,5.76,0.43,1.25,45.8,Loamy
Maharashtra,Nashik,70.4,68.3,45.6,7.19,0.51,1.0,49.7,Alluvial
Maharashtra,Nashik,63.0,65.1,38.4,6.08,0.64,1.36,45.8,Sandy
Maharashtra,Nashik,46.6,52.6,51.5,7.37,0.48,0.92,45.3,Sandy
Maharashtra,Nashik,67.6,64.0,24.8,6.01,0.46,1.13,52.0,Sandy
Maharashtra,Nashik,45.9,45.7,56.7,7.17,0.65,1.43,19.7,Alluvial
Maharashtra,Nashik,45.6,45.0,15.6,6.18,0.68,1.45,35.7,Alluvial
Maharashtra,Nashik,33.8,47.3,74.3,5.57,0.64,1.54,49.5,Clayey
Maharashtra,Nashik,73.8,39.8,48.8,5.54,0.72,1.81,24.6,Loamy
Maharashtra,Nashik,43.6,60.8,27.5,7.45,0.81,1.1,34.1,Red
Maharashtra,Nashik,81.0,61.7,57.6,6.64,0.47,1.2,68.4,Clayey
Maharashtra,Nashik,69.3,51.6,53.4,5.23,0.58,1.34,65.8,Red
Maharashtra,Nashik,61.3,39.8,39.0,7.76,0.61,1.09,35.3,Loamy
Maharashtra,Nashik,33.1,25.8,43.7,6.59,0.67,1.38,62.9,Sandy
Maharashtra,Nashik,48.2,59.9,11.3,7.18,0.61,1.35,54.9,Laterite
Maharashtra,Nashik,51.9,53.2,41.6,6.85,0.95,0.73,69.3,Black
Maharashtra,Nashik,62.1,42.4,23.3,7.35,0.57,0.77,48.2,Clayey
Maharashtra,Nashik,74.9,25.5,41.4,6.31,0.44,0.92,43.4,Loamy
Maharashtra,Nashik,80.7,50.2,46.1,7.24,0.49,1.4,62.9,Black
Maharashtra,Nashik,5.0,60.0,37.5,6.9,0.9,1.93,35.3,Red
Maharashtra,Nashik,62.7,36.2,24.7,5.88,0.54,1.57,57.3,Laterite
Maharashtra,Nashik,71.8,61.8,27.2,5.95,0.6,0.95,55.6,Red
Maharashtra,Nashik,45.0,65.9,54.7,6.55,0.53,0.95,52.8,Loamy
Maharashtra,Nashik,25.0,46.6,35.1,7.88,0.72,1.16,31.1,Laterite
Maharashtra,Nashik,66.6,45.4,25.7,5.11,0.67,1.52,59.9,Black
Maharashtra,Nashik,54.5,47.6,36.9,6.46,0.75,0.87,56.1,Laterite
Maharashtra,Nashik,82.8,44.9,50.0,5.84,0.59,1.41,57.7,Alluvial
Maharashtra,Nashik,65.1,41.1,56.1,6.72,0.67,0.93,73.2,Clayey
Maharashtra,Nashik,60.2,66.8,40.6,6.36,0.69,1.27,65.8,Sandy
Maharashtra,Nashik,68.4,41.4,48.7,7.11,0.43,1.5,45.1,Loamy
