State,District,Irrigation_Type,Water_Availability,Groundwater_Level
Maharashtra,Pune,Canal Flood,Medium,85.6
Maharashtra,Pune,Canal Flood,Medium,72.4
Maharashtra,Pune,Rainfed Only,Low,37.9
Maharashtra,Pune,Rainfed Only,High,63.9
Maharashtra,Pune,Drip,Low,54.5
Maharashtra,Pune,Canal Flood,High,72.6
Maharashtra,Pune,Rainfed Only,Medium,95.2
Maharashtra,Pune,Sprinkler,Medium,101.0
Maharashtra,Pune,Sprinkler,Medium,81.8
Maharashtra,Pune,Drip,High,101.3
Maharashtra,Pune,Canal Flood,Low,117.6
Maharashtra,Pune,Rainfed Only,Low,94.4
Maharashtra,Pune,Drip,Medium,58.6
Maharashtra,Pune,Canal Flood,Low,98.7
Maharashtra,Pune,Rainfed Only,High,88.5
Maharashtra,Pune,Canal Flood,Low,69.5
Maharashtra,Pune,Sprinkler,Medium,85.9
Maharashtra,Pune,Sprinkler,Low,52.5
Maharashtra,Pune,Sprinkler,High,95.4
Maharashtra,Pune,Canal Flood,Medium,101.4
Maharashtra,Pune,Rainfed Only,Low,109.9
Maharashtra,Pune,Rainfed Only,Low,82.1
Maharashtra,Pune,Sprinkler,Low,64.7
Maharashtra,Pune,Sprinkler,High,57.9
Maharashtra,Pune,Sprinkler,High,88.5
Maharashtra,Pune,Drip,Medium,103.7
Maharashtra,Pune,Canal Flood,High,59.6
Maharashtra,Pune,Sprinkler,Low,49.9
Maharashtra,Pune,Rainfed Only,High,54.3
Maharashtra,Pune,Drip,Medium,87.8
Maharashtra,Pune,Drip,Medium,113.2
Maharashtra,Pune,Rainfed Only,High,93.1
Maharashtra,Pune,Canal Flood,Low,110.7
Maharashtra,Pune,Rainfed Only,Medium,44.2
Maharashtra,Pune,Canal Flood,High,130.2
Maharashtra,Pune,Rainfed Only,Medium,74.3
Maharashtra,Pune,Canal Flood,High,69.1
Maharashtra,Pune,Rainfed Only,Medium,68.7
Maharashtra,Pune,Canal Flood,Medium,67.0
Maharashtra,Pune,Rainfed Only,Medium,63.5
Maharashtra,Pune,Rainfed Only,Low,100.4
Maharashtra,Pune,Sprinkler,High,120.8
Maharashtra,Pune,Drip,Medium,140.0
Maharashtra,Pune,Sprinkler,High,101.6
Maharashtra,Pune,Drip,High,90.9
Maharashtra,Pune,Sprinkler,Low,94.6
Maharashtra,Pune,Rainfed Only,High,65.8
Maharashtra,Pune,Canal Flood,Low,38.0
Maharashtra,Pune,Sprinkler,Medium,100.8
Maharashtra,Pune,Canal Flood,High,64.6
Maharashtra,Pune,Drip,High,100.0
Maharashtra,Pune,Sprinkler,High,77.6
Maharashtra,Pune,Rainfed Only,Medium,141.9
Maharashtra,Pune,Drip,Low,144.4
Maharashtra,Pune,Rainfed Only,Medium,86.5
Maharashtra,Pune,Canal Flood,Medium,76.1
Maharashtra,Pune,Sprinkler,Low,133.1
Maharashtra,Pune,Canal Flood,Low,98.4
Maharashtra,Pune,Sprinkler,High,89.1
Maharashtra,Pune,Rainfed Only,Medium,110.0
Maharashtra,Pune,Sprinkler,High,82.7
Maharashtra,Pune,Rainfed Only,Low,55.5
Maharashtra,Pune,Canal Flood,Medium,52.2
Maharashtra,Pune,Sprinkler,Medium,17.1
Maharashtra,Pune,Rainfed Only,Medium,81.9
Maharashtra,Pune,Rainfed Only,Low,113.2
Maharashtra,Pune,Rainfed Only,Medium,119.1
Maharashtra,Pune,Sprinkler,High,136.5
Maharashtra,Pune,Sprinkler,Low,39.6
Maharashtra,Pune,Rainfed Only,Medium,98.1
Maharashtra,Pune,Drip,Medium,113.4
Maharashtra,Pune,Canal Flood,Low,58.2
Maharashtra,Pune,Drip,Low,96.2
Maharashtra,Pune,Canal Flood,High,75.9
Maharashtra,Pune,Rainfed Only,High,62.6
Maharashtra,Pune,Drip,Medium,48.9
Maharashtra,Pune,Canal Flood,Medium,45.5
Maharashtra,Pune,Canal Flood,Low,32.9
Maharashtra,Pune,Drip,Medium,98.0
Maharashtra,Pune,Canal Flood,High,50.7
Maharashtra,Pune,Sprinkler,Low,49.8
Maharashtra,Pune,Sprinkler,Low,52.3
Maharashtra,Pune,Sprinkler,High,85.3
Maharashtra,Pune,Sprinkler,Low,85.9
Maharashtra,Pune,Sprinkler,Low,72.3
Maharashtra,Nashik,Canal Flood,High,48.5
Maharashtra,Nashik,Rainfed Only,Medium,96.8
Maharashtra,Nashik,Drip,High,61.6
Maharashtra,Nashik,Sprinkler,High,31.0
Maharashtra,Nashik,Canal Flood,Low,83.8
Maharashtra,Nashik,Sprinkler,Low,141.7
Maharashtra,Nashik,Sprinkler,Medium,66.4
Maharashtra,Nashik,Rainfed Only,Medium,96.5
Maharashtra,Nashik,Canal Flood,Medium,81.3
Maharashtra,Nashik,Drip,Medium,122.7
Maharashtra,Nashik,Drip,High,130.0
Maharashtra,Nashik,Canal Flood,High,85.5
Maharashtra,Nashik,Sprinkler,High,78.2
Maharashtra,Nashik,Rainfed Only,Low,121.6
Maharashtra,Nashik,Sprinkler,Medium,67.5
Maharashtra,Nashik,Drip,Low,94.8
Maharashtra,Nashik,Sprinkler,Medium,120.4
Maharashtra,Nashik,Drip,Medium,149.4
Maharashtra,Nashik,Rainfed Only,Low,114.9
Maharashtra,Nashik,Drip,Low,119.9
Maharashtra,Nashik,Canal Flood,High,83.9
Maharashtra,Nashik,Drip,Low,111.5
Maharashtra,Nashik,Sprinkler,High,78.2
Maharashtra,Nashik,Drip,Low,122.9
Maharashtra,Nashik,Sprinkler,Low,65.7
Maharashtra,Nashik,Rainfed Only,Medium,66.6
Maharashtra,Nashik,Rainfed Only,High,87.3
Maharashtra,Nashik,Canal Flood,Medium,69.2
Maharashtra,Nashik,Canal Flood,Low,80.1
Maharashtra,Nashik,Sprinkler,Low,113.8
Maharashtra,Nashik,Sprinkler,High,120.6
Maharashtra,Nashik,Rainfed Only,Low,144.5
Maharashtra,Nashik,Rainfed Only,High,127.7
Maharashtra,Nashik,Drip,High,5.0
Maharashtra,Nashik,Rainfed Only,Medium,48.8
Maharashtra,Nashik,Rainfed Only,Low,42.3
Maharashtra,Nashik,Rainfed Only,Medium,76.4
Maharashtra,Nashik,Drip,High,68.5
Maharashtra,Nashik,Sprinkler,Medium,48.3
Maharashtra,Nashik,Sprinkler,High,48.4
Maharashtra,Nashik,Drip,Medium,69.5
Maharashtra,Nashik,Canal Flood,Medium,88.7
Maharashtra,Nashik,Rainfed Only,Low,74.2
Maharashtra,Nashik,Sprinkler,High,100.3
Maharashtra,Nashik,Drip,Medium,60.9
Maharashtra,Nashik,Sprinkler,Low,71.1
Maharashtra,Nashik,Sprinkler,Medium,87.1
Maharashtra,Nashik,Drip,Low,103.0
Maharashtra,Nashik,Drip,Medium,92.2
Maharashtra,Nashik,Canal Flood,High,106.8
Maharashtra,Nashik,Drip,High,112.9
Maharashtra,Nashik,Drip,High,111.9
Maharashtra,Nashik,Rainfed Only,Medium,25.0
Maharashtra,Nashik,Canal Flood,High,93.6
Maharashtra,Nashik,Drip,High,101.5
Maharashtra,Nashik,Drip,Low,54.9
Maharashtra,Nashik,Rainfed Only,High,95.1
Maharashtra,Nashik,Canal Flood,Medium,54.0
Maharashtra,Nashik,Sprinkler,Low,129.4
Maharashtra,Nashik,Sprinkler,Low,118.6
Maharashtra,Nashik,Sprinkler,Medium,5.0
Maharashtra,Nashik,Sprinkler,Low,117.8
Maharashtra,Nashik,Sprinkler,High,69.8
Maharashtra,Nashik,Rainfed Only,High,99.9
Maharashtra,Nashik,Canal Flood,High,95.7
Maharashtra,Nashik,Drip,Low,72.7
Maharashtra,Nashik,Rainfed Only,Low,90.6
Maharashtra,Nashik,Drip,High,106.3
Maharashtra,Nashik,Rainfed Only,High,153.1
Maharashtra,Nashik,Rainfed Only,High,86.0
Maharashtra,Nashik,Canal Flood,Low,101.0
Maharashtra,Nashik,Canal Flood,Medium,71.1
Maharashtra,Nashik,Sprinkler,High,120.0
Maharashtra,Nashik,Rainfed Only,Low,81.9
Maharashtra,Nashik,Rainfed Only,High,101.1
Maharashtra,Nashik,Sprinkler,Low,73.7
Maharashtra,Nashik,Sprinkler,Low,75.7
Maharashtra,Nashik,Drip,High,67.3
Maharashtra,Nashik,Drip,High,97.1
Maharashtra,Nashik,Drip,Medium,37.9
Maharashtra,Nashik,Drip,Medium,85.3
Maharashtra,Nashik,Rainfed Only,Low,79.3
Maharashtra,Nashik,Drip,Low,8.1
Maharashtra,Nashik,Drip,High,88.1
Maharashtra,Nashik,Canal Flood,Medium,124.9
Maharashtra,Nashik,Sprinkler,Medium,85.0
Maharashtra,Nashik,Rainfed Only,Low,90.1
Maharashtra,Nashik,Drip,Medium,72.9
Maharashtra,Nashik,Canal Flood,High,73.4
Maharashtra,Nashik,Drip,Medium,96.1
Maharashtra,Nashik,Sprinkler,Medium,104.1
Maharashtra,Nashik,Drip,Low,31.1
Maharashtra,Nashik,Sprinkler,Low,150.7
Maharashtra,Nashik,Drip,Medium,110.7
Maharashtra,Nashik,Drip,Low,95.6
Maharashtra,Nashik,Rainfed Only,Medium,50.1
Maharashtra,Nashik,Canal Flood,Low,111.7
Maharashtra,Nashik,Sprinkler,Medium,25.1
Maharashtra,Nashik,Rainfed Only,Low,84.2
Maharashtra,Nashik,Drip,Medium,5.0
Maharashtra,Nashik,Canal Flood,Medium,123.4
Maharashtra,Nashik,Sprinkler,Medium,77.6
Maharashtra,Nashik,Sprinkler,Medium,114.3
Maharashtra,Nashik,Drip,Low,103.6
Maharashtra,Nashik,Sprinkler,Medium,95.4
Maharashtra,Nashik,Drip,High,104.0
Maharashtra,Nashik,Drip,High,124.9
Maharashtra,Nashik,Rainfed Only,Medium,87.6
Maharashtra,Nashik,Rainfed Only,Medium,158.1
Maharashtra,Nashik,Sprinkler,Low,168.0
Maharashtra,Nashik,Drip,High,72.1
Maharashtra,Nashik,Rainfed Only,Low,56.4
Maharashtra,Nashik,Canal Flood,Low,45.9
Maharashtra,Nashik,Canal Flood,Low,51.4
Maharashtra,Nashik,Canal Flood,High,71.1
Maharashtra,Nashik,Sprinkler,Low,69.2
Maharashtra,Nashik,Rainfed Only,Medium,122.2
Maharashtra,Nashik,Sprinkler,Low,143.9
Maharashtra,Nashik,Canal Flood,Low,57.2
Maharashtra,Nashik,Drip,High,113.3
Maharashtra,Nashik,Canal Flood,Medium,50.9
Maharashtra,Nashik,Drip,High,106.1
Maharashtra,Nashik,Drip,High,53.1
Maharashtra,Nashik,Canal Flood,Low,76.3
Maharashtra,Nashik,Sprinkler,Low,83.7
Maharashtra,Nashik,Drip,Low,63.5
Maharashtra,Nashik,Sprinkler,High,119.4
Maharashtra,Nashik,Canal Flood,High,17.1
Maharashtra,Nashik,Drip,High,82.2
Maharashtra,Nashik,Canal Flood,High,66.6
Maharashtra,Nashik,Drip,High,76.2
Maharashtra,Nashik,Rainfed Only,High,137.8
Maharashtra,Nashik,Sprinkler,High,71.4
Maharashtra,Nashik,Drip,High,91.6
Maharashtra,Nashik,Canal Flood,Low,104.2
Maharashtra,Nashik,Rainfed Only,Medium,66.2
Maharashtra,Nashik,Drip,High,77.7
Maharashtra,Nashik,Sprinkler,Medium,65.9
Maharashtra,Nashik,Canal Flood,Medium,75.8
Maharashtra,Nashik,Drip,High,102.9
Maharashtra,Nashik,Sprinkler,Low,59.8
Maharashtra,Nashik,Sprinkler,Low,123.3
Maharashtra,Nashik,Canal Flood,Medium,71.2
Maharashtra,Nashik,Sprinkler,Low,45.4
Maharashtra,Nashik,Drip,Low,66.3
Maharashtra,Nashik,Drip,Medium,25.5
Maharashtra,Nashik,Rainfed Only,Medium,118.1
Maharashtra,Nashik,Sprinkler,High,86.1
Maharashtra,Nashik,Rainfed Only,Medium,77.0
Maharashtra,Nashik,Canal Flood,High,54.8
Maharashtra,Nashik,Canal Flood,Medium,110.7
Maharashtra,Nashik,Canal Flood,Low,91.7
Maharashtra,Nashik,Canal Flood,High,77.5
Maharashtra,Nashik,Drip,High,64.6
Maharashtra,Nashik,Sprinkler,Medium,95.3
Maharashtra,Nashik,Canal Flood,Low,67.8
Maharashtra,Nashik,Sprinkler,Low,74.7
Maharashtra,Nashik,Sprinkler,Medium,77.8
Maharashtra,Nashik,Rainfed Only,Low,94.1
Maharashtra,Nashik,Drip,Medium,52.2
Maharashtra,Nashik,Canal Flood,Medium,79.0
Maharashtra,Nashik,Sprinkler,Medium,100.0
Maharashtra,Nashik,Sprinkler,Low,129.6
Maharashtra,Nashik,Canal Flood,High,103.1
Maharashtra,Nashik,Sprinkler,Low,99.5
Maharashtra,Nashik,Sprinkler,High,80.8
Maharashtra,Nashik,Canal Flood,Medium,45.3
Maharashtra,Nashik,Drip,Low,37.5
Maharashtra,Nashik,Drip,Low,92.8
Maharashtra,Nashik,Canal Flood,Medium,118.7
Maharashtra,Nashik,Canal Flood,Medium,52.3
Maharashtra,Nashik,Sprinkler,High,70.8
Maharashtra,Nashik,Drip,Low,101.3
Maharashtra,Nashik,Rainfed Only,High,109.3
Maharashtra,Nashik,Canal Flood,Medium,92.7
Maharashtra,Nashik,Rainfed Only,Medium,83.9
Maharashtra,Nashik,Rainfed Only,Medium,81.1
Maharashtra,Nashik,Drip,Medium,86.2
Maharashtra,Nashik,Rainfed Only,Low,57.7
Maharashtra,Nashik,Canal Flood,Medium,93.0
Maharashtra,Nashik,Canal Flood,Low,87.1
Maharashtra,Nashik,Canal Flood,Low,72.5
Maharashtra,Nashik,Sprinkler,Medium,72.4
Maharashtra,Nashik,Drip,Low,47.6
Maharashtra,Nashik,Rainfed Only,High,118.3
Maharashtra,Nashik,Canal Flood,Medium,99.9
Maharashtra,Nashik,Canal Flood,High,5.0
Maharashtra,Nashik,Rainfed Only,Medium,135.9
Maharashtra,Nashik,Rainfed Only,Low,87.8
Maharashtra,Nashik,Rainfed Only,Medium,53.1
Maharashtra,Nashik,Sprinkler,Medium,53.3
Maharashtra,Nashik,Sprinkler,High,97.1
Maharashtra,Nashik,Rainfed Only,High,124.2
Maharashtra,Nashik,Sprinkler,Medium,80.5
Maharashtra,Nashik,Sprinkler,Medium,86.3
Maharashtra,Nashik,Rainfed Only,High,89.3
Maharashtra,Nashik,Canal Flood,Low,60.5
Maharashtra,Nashik,Drip,Low,94.2
Maharashtra,Nashik,Drip,High,62.7
Maharashtra,Nashik,Rainfed Only,High,57.3
Maharashtra,Nagpur,Rainfed Only,Medium,95.1
Maharashtra,Nagpur,Canal Flood,Medium,118.8
Maharashtra,Nagpur,Sprinkler,Medium,65.7
Maharashtra,Nagpur,Canal Flood,Medium,108.6
Maharashtra,Nagpur,Rainfed Only,Medium,111.0
Maharashtra,Nagpur,Sprinkler,High,55.7
Maharashtra,Nagpur,Rainfed Only,High,112.3
Maharashtra,Nagpur,Canal Flood,Medium,17.2
Maharashtra,Nagpur,Drip,Medium,94.9
Maharashtra,Nagpur,Drip,High,77.3
Maharashtra,Nagpur,Rainfed Only,High,83.8
Maharashtra,Nagpur,Drip,Medium,130.8
Maharashtra,Nagpur,Canal Flood,Medium,71.5
Maharashtra,Nagpur,Drip,High,69.5
Maharashtra,Nagpur,Canal Flood,High,71.7
Maharashtra,Nagpur,Drip,High,95.1
Maharashtra,Nagpur,Canal Flood,High,42.1
Maharashtra,Nagpur,Drip,High,63.8
Maharashtra,Nagpur,Canal Flood,Medium,79.1
Maharashtra,Nagpur,Drip,Medium,48.2
Maharashtra,Nagpur,Rainfed Only,Low,41.0
Maharashtra,Nagpur,Rainfed Only,Low,53.7
Maharashtra,Nagpur,Drip,High,64.5
Maharashtra,Nagpur,Rainfed Only,Low,44.0
Maharashtra,Nagpur,Drip,Medium,49.3
Maharashtra,Nagpur,Rainfed Only,Medium,64.8
Maharashtra,Nagpur,Sprinkler,Low,50.2
Maharashtra,Nagpur,Rainfed Only,Low,93.4
Maharashtra,Nagpur,Canal Flood,High,91.4
Maharashtra,Nagpur,Drip,Medium,88.5
Maharashtra,Nagpur,Rainfed Only,Low,24.4
Maharashtra,Nagpur,Canal Flood,High,73.3
Maharashtra,Nagpur,Sprinkler,Medium,112.8
Maharashtra,Nagpur,Drip,High,77.8
Maharashtra,Nagpur,Sprinkler,High,61.9
Maharashtra,Nagpur,Canal Flood,Medium,70.1
Maharashtra,Nagpur,Drip,Medium,84.9
Maharashtra,Nagpur,Rainfed Only,Low,130.6
Maharashtra,Nagpur,Canal Flood,Medium,110.1
Maharashtra,Nagpur,Drip,High,61.4
Maharashtra,Nagpur,Canal Flood,Low,65.0
Maharashtra,Nagpur,Rainfed Only,Low,94.6
Maharashtra,Nagpur,Rainfed Only,High,80.7
Maharashtra,Nagpur,Canal Flood,Medium,126.9
Maharashtra,Nagpur,Canal Flood,High,79.4
Maharashtra,Nagpur,Canal Flood,Low,100.6
Maharashtra,Nagpur,Canal Flood,Medium,89.4
Maharashtra,Nagpur,Sprinkler,Medium,66.8
Maharashtra,Nagpur,Rainfed Only,Medium,95.4
Maharashtra,Nagpur,Sprinkler,High,57.5
Maharashtra,Nagpur,Sprinkler,Medium,103.1
Maharashtra,Nagpur,Sprinkler,High,84.8
Maharashtra,Nagpur,Drip,High,42.2
Maharashtra,Nagpur,Canal Flood,Medium,62.6
Maharashtra,Nagpur,Rainfed Only,Medium,55.3
Maharashtra,Nagpur,Canal Flood,Medium,144.4
Maharashtra,Nagpur,Sprinkler,High,81.5
Maharashtra,Nagpur,Sprinkler,Low,110.2
Maharashtra,Nagpur,Sprinkler,High,94.5
Maharashtra,Nagpur,Rainfed Only,High,99.4
Maharashtra,Nagpur,Drip,Low,79.4
Maharashtra,Nagpur,Canal Flood,Medium,106.2
Maharashtra,Nagpur,Canal Flood,Low,96.7
Maharashtra,Nagpur,Sprinkler,Low,103.9
Maharashtra,Nagpur,Drip,Low,98.5
Maharashtra,Nagpur,Rainfed Only,High,80.9
Maharashtra,Nagpur,Rainfed Only,Low,131.3
Maharashtra,Nagpur,Drip,High,102.5
Maharashtra,Nagpur,Drip,Low,103.6
Maharashtra,Nagpur,Drip,High,96.3
Maharashtra,Nagpur,Rainfed Only,High,96.5
Maharashtra,Nagpur,Sprinkler,Low,129.2
Maharashtra,Nagpur,Rainfed Only,Medium,104.3
Maharashtra,Nagpur,Rainfed Only,Low,62.7
Maharashtra,Nagpur,Rainfed Only,Low,86.5
Maharashtra,Nagpur,Canal Flood,Medium,83.5
Maharashtra,Nagpur,Sprinkler,Medium,56.0
Maharashtra,Nagpur,Drip,Low,69.7
Maharashtra,Nagpur,Sprinkler,Medium,75.5
Maharashtra,Nagpur,Canal Flood,Low,31.4
Maharashtra,Nagpur,Drip,High,119.8
Maharashtra,Nagpur,Sprinkler,Low,89.6
Maharashtra,Nagpur,Drip,Low,55.4
Maharashtra,Nagpur,Sprinkler,Low,118.2
Maharashtra,Nagpur,Sprinkler,Medium,82.9
Maharashtra,Nagpur,Sprinkler,Low,59.6
Maharashtra,Nagpur,Canal Flood,High,87.1
Maharashtra,Nagpur,Drip,Low,100.3
Maharashtra,Nagpur,Drip,Low,110.3
Maharashtra,Nagpur,Drip,Low,81.0
Maharashtra,Nagpur,Drip,Medium,87.8
Maharashtra,Nagpur,Rainfed Only,High,93.6
Maharashtra,Nagpur,Sprinkler,High,90.4
Maharashtra,Nagpur,Sprinkler,Low,40.4
Maharashtra,Nagpur,Canal Flood,Low,57.9
Maharashtra,Nagpur,Canal Flood,Low,17.8
Maharashtra,Nagpur,Canal Flood,Low,85.3
Maharashtra,Nagpur,Canal Flood,Medium,125.8
Maharashtra,Nagpur,Rainfed Only,Medium,32.2
Maharashtra,Nagpur,Drip,Low,71.8
Maharashtra,Nagpur,Rainfed Only,High,117.9
Maharashtra,Nagpur,Sprinkler,Medium,91.2
Maharashtra,Nagpur,Sprinkler,Low,58.0
Maharashtra,Nagpur,Rainfed Only,Low,117.7
Maharashtra,Nagpur,Sprinkler,Medium,115.0
Maharashtra,Nagpur,Drip,Low,94.2
Maharashtra,Nagpur,Sprinkler,Low,98.4
Maharashtra,Nagpur,Canal Flood,Low,83.4
Maharashtra,Nagpur,Sprinkler,High,89.6
Maharashtra,Nagpur,Sprinkler,Low,20.1
Maharashtra,Nagpur,Drip,High,61.0
Maharashtra,Nagpur,Drip,High,64.5
Maharashtra,Nagpur,Sprinkler,High,90.0
Maharashtra,Nagpur,Canal Flood,Low,63.0
Maharashtra,Nagpur,Sprinkler,Medium,100.5
Maharashtra,Nagpur,Sprinkler,Medium,107.1
Maharashtra,Nagpur,Sprinkler,High,52.4
Maharashtra,Nagpur,Sprinkler,Medium,67.8
Maharashtra,Nagpur,Sprinkler,Low,122.5
Maharashtra,Nagpur,Drip,High,82.3
Maharashtra,Nagpur,Canal Flood,Low,73.5
Maharashtra,Nagpur,Drip,Low,46.8
Maharashtra,Nagpur,Rainfed Only,Medium,101.3
Maharashtra,Nagpur,Drip,Low,62.6
Maharashtra,Nagpur,Drip,Low,133.9
Maharashtra,Nagpur,Drip,High,89.6
Maharashtra,Nagpur,Sprinkler,Medium,94.7
Maharashtra,Nagpur,Rainfed Only,Low,80.1
Maharashtra,Nagpur,Canal Flood,Low,52.5
Maharashtra,Nagpur,Sprinkler,High,104.5
Maharashtra,Nagpur,Canal Flood,Low,63.0
Maharashtra,Nagpur,Rainfed Only,High,142.1
Maharashtra,Nagpur,Sprinkler,Medium,93.1
Maharashtra,Nagpur,Drip,High,91.9
Maharashtra,Nagpur,Sprinkler,High,18.3
Maharashtra,Nagpur,Sprinkler,Low,81.4
Maharashtra,Nagpur,Sprinkler,Low,75.4
Maharashtra,Nagpur,Canal Flood,Medium,42.6
Maharashtra,Nagpur,Drip,High,103.2
Maharashtra,Nagpur,Sprinkler,High,52.5
Maharashtra,Nagpur,Canal Flood,Low,90.5
Maharashtra,Nagpur,Canal Flood,Low,151.4
Maharashtra,Nagpur,Rainfed Only,Medium,60.2
Maharashtra,Nagpur,Drip,Low,115.9
Maharashtra,Nagpur,Canal Flood,Low,82.1
Maharashtra,Nagpur,Sprinkler,Medium,120.5
Maharashtra,Nagpur,Canal Flood,Low,151.3
Maharashtra,Nagpur,Drip,Low,79.8
Maharashtra,Nagpur,Sprinkler,High,71.2
Maharashtra,Nagpur,Drip,Low,72.4
