State,District,Rainfall
Maharashtra,Pune,60.1
Maharashtra,Pune,98.5
Maharashtra,Pune,176.5
Maharashtra,Pune,121.7
Maharashtra,Pune,99.8
Maharashtra,Pune,84.4
Maharashtra,Pune,58.9
Maharashtra,Pune,163.9
Maharashtra,Pune,216.2
Maharashtra,Pune,101.5
Maharashtra,Pune,38.9
Maharashtra,Pune,189.8
Maharashtra,Pune,80.0
Maharashtra,Pune,137.5
Maharashtra,Pune,143.9
Maharashtra,Pune,170.8
Maharashtra,Pune,109.8
Maharashtra,Nashik,141.0
Maharashtra,Nashik,105.4
Maharashtra,Nashik,30.4
Maharashtra,Nashik,101.4
Maharashtra,Nashik,136.8
Maharashtra,Nashik,75.1
Maharashtra,Nashik,124.2
Maharashtra,Nashik,132.2
Maharashtra,Nashik,180.3
Maharashtra,Nashik,78.3
Maharashtra,Nashik,131.0
Maharashtra,Nashik,70.9
Maharashtra,Nashik,21.7
Maharashtra,Nashik,98.6
Maharashtra,Nashik,95.4
Maharashtra,Nashik,135.5
Maharashtra,Nashik,172.2
Maharashtra,Nashik,124.8
Maharashtra,Nashik,90.8
Maharashtra,Nashik,83.0
Maharashtra,Nashik,172.4
Maharashtra,Nashik,150.9
Maharashtra,Nashik,80.3
Maharashtra,Nashik,58.5
Maharashtra,Nashik,80.2
Maharashtra,Nashik,164.5
Maharashtra,Nashik,77.5
Maharashtra,Nashik,140.7
Maharashtra,Nashik,196.2
Maharashtra,Nashik,84.2
Maharashtra,Nashik,103.0
Maharashtra,Nashik,118.6
Maharashtra,Nashik,47.8
Maharashtra,Nashik,88.0
Maharashtra,Nashik,128.0
Maharashtra,Nashik,76.2
Maharashtra,Nashik,216.2
Maharashtra,Nashik,97.8
Maharashtra,Nashik,112.0
Maharashtra,Nashik,94.2
Maharashtra,Nashik,109.1
Maharashtra,Nashik,87.5
Maharashtra,Nashik,26.6
Maharashtra,Nashik,103.8
Maharashtra,Nashik,201.3
Maharashtra,Nashik,193.3
Maharashtra,Nashik,72.5
Maharashtra,Nashik,48.2
Maharashtra,Nashik,27.6
Maharashtra,Nashik,76.2
Maharashtra,Nashik,95.0
Maharashtra,Nashik,138.1
Maharashtra,Nashik,101.3
Maharashtra,Nashik,159.5
Maharashtra,Nashik,146.7
Maharashtra,Nashik,135.6
Maharashtra,Nashik,114.5
Maharashtra,Nashik,164.4
Maharashtra,Nashik,148.5
Maharashtra,Nashik,54.3
Maharashtra,Nashik,143.8
Maharashtra,Nashik,94.1
Maharashtra,Nashik,161.4
Maharashtra,Nashik,149.6
Maharashtra,Nashik,197.4
Maharashtra,Nashik,30.1
Maharashtra,Nashik,133.8
Maharashtra,Nashik,90.7
Maharashtra,Nashik,215.9
Maharashtra,Nashik,10.0
Maharashtra,Nashik,139.7
Maharashtra,Nashik,145.1
Maharashtra,Nashik,23.8
Maharashtra,Nashik,143.4
Maharashtra,Nashik,29.2
Maharashtra,Nashik,87.4
Maharashtra,Nashik,138.4
Maharashtra,Nashik,76.0
Maharashtra,Nashik,123.4
Maharashtra,Nashik,119.7
Maharashtra,Nashik,144.1
Maharashtra,Nashik,71.9
Maharashtra,Nashik,161.6
Maharashtra,Nashik,10.0
Maharashtra,Nashik,188.4
Maharashtra,Nashik,108.4
Maharashtra,Nashik,113.0
Maharashtra,Nashik,133.9
Maharashtra,Nashik,128.6
Maharashtra,Nashik,119.9
Maharashtra,Nashik,176.1
Maharashtra,Nashik,51.3
Maharashtra,Nashik,77.0
Maharashtra,Nashik,139.5
Maharashtra,Nashik,103.5
Maharashtra,Nashik,178.1
Maharashtra,Nashik,220.7
Maharashtra,Nashik,120.2
Maharashtra,Nashik,42.6
Maharashtra,Nashik,80.4
Maharashtra,Nashik,28.1
Maharashtra,Nashik,147.9
Maharashtra,Nashik,77.4
Maharashtra,Nashik,112.8
Maharashtra,Nashik,107.0
Maharashtra,Nashik,170.8
Maharashtra,Nashik,122.5
Maharashtra,Nashik,107.8
Maharashtra,Nashik,78.6
Maharashtra,Nashik,147.2
Maharashtra,Nashik,70.5
Maharashtra,Nashik,63.6
Maharashtra,Nashik,93.3
Maharashtra,Nashik,213.8
Maharashtra,Nashik,115.5
Maharashtra,Nashik,117.7
Maharashtra,Nashik,134.3
Maharashtra,Nashik,130.5
Maharashtra,Nashik,110.2
Maharashtra,Nashik,76.4
Maharashtra,Nashik,100.2
Maharashtra,Nashik,110.7
Maharashtra,Nashik,56.3
Maharashtra,Nashik,110.3
Maharashtra,Nashik,128.8
Maharashtra,Nashik,95.9
Maharashtra,Nashik,175.7
Maharashtra,Nashik,132.4
Maharashtra,Nashik,85.7
Maharashtra,Nashik,101.4
Maharashtra,Nashik,175.3
Maharashtra,Nashik,92.3
Maharashtra,Nashik,83.9
Maharashtra,Nashik,81.9
Maharashtra,Nashik,123.3
Maharashtra,Nashik,129.9
Maharashtra,Nashik,150.6
Maharashtra,Nashik,87.3
Maharashtra,Nashik,188.3
Maharashtra,Nashik,143.0
Maharashtra,Nashik,101.3
Maharashtra,Nashik,157.2
Maharashtra,Nashik,205.7
Maharashtra,Nashik,141.9
Maharashtra,Nashik,199.2
Maharashtra,Nashik,74.6
Maharashtra,Nashik,33.2
Maharashtra,Nashik,144.0
Maharashtra,Nashik,171.1
Maharashtra,Nashik,60.3
Maharashtra,Nashik,175.9
Maharashtra,Nashik,100.3
Maharashtra,Nashik,147.4
Maharashtra,Nashik,131.9
Maharashtra,Nashik,140.9
Maharashtra,Nashik,145.5
Maharashtra,Nashik,116.1
Maharashtra,Nashik,100.6
Maharashtra,Nashik,135.5
Maharashtra,Nashik,107.6
Maharashtra,Nashik,88.8
Maharashtra,Nashik,134.3
Maharashtra,Nashik,93.1
Maharashtra,Nashik,111.2
Maharashtra,Nashik,96.1
Maharashtra,Nashik,190.2
Maharashtra,Nashik,124.7
Maharashtra,Nashik,48.7
Maharashtra,Nashik,176.1
Maharashtra,Nashik,38.4
Maharashtra,Nashik,216.3
Maharashtra,Nashik,121.8
Maharashtra,Nashik,91.9
Maharashtra,Nashik,103.6
Maharashtra,Nashik,48.3
Maharashtra,Nashik,115.3
Maharashtra,Nashik,99.9
Maharashtra,Nashik,117.2
Maharashtra,Nashik,160.5
Maharashtra,Nashik,133.7
Maharashtra,Nashik,68.0
Maharashtra,Nashik,75.4
Maharashtra,Nashik,131.3
Maharashtra,Nashik,142.1
Maharashtra,Nashik,116.8
Maharashtra,Nashik,145.0
Maharashtra,Nashik,126.4
Maharashtra,Nashik,127.7
Maharashtra,Nashik,157.8
Maharashtra,Nashik,206.5
Maharashtra,Nashik,133.5
Maharashtra,Nashik,258.7
Maharashtra,Nashik,126.5
Maharashtra,Nashik,125.8
Maharashtra,Nashik,207.9
Maharashtra,Nashik,112.6
Maharashtra,Nashik,38.5
Maharashtra,Nashik,70.7
Maharashtra,Nashik,160.7
Maharashtra,Nashik,142.0
Maharashtra,Nagpur,78.2
Maharashtra,Nagpur,31.9
Maharashtra,Nagpur,102.9
Maharashtra,Nagpur,173.9
Maharashtra,Nagpur,114.9
Maharashtra,Nagpur,104.0
Maharashtra,Nagpur,70.5
Maharashtra,Nagpur,105.4
Maharashtra,Nagpur,144.0
Maharashtra,Nagpur,111.4
Maharashtra,Nagpur,112.4
Maharashtra,Nagpur,170.4
Maharashtra,Nagpur,84.9
Maharashtra,Nagpur,141.1
Maharashtra,Nagpur,112.9
Maharashtra,Nagpur,193.8
Maharashtra,Nagpur,158.9
Maharashtra,Nagpur,180.2
Maharashtra,Nagpur,147.7
Maharashtra,Nagpur,97.9
Maharashtra,Nagpur,183.7
Maharashtra,Nagpur,136.2
Maharashtra,Nagpur,130.1
Maharashtra,Nagpur,84.4
Maharashtra,Nagpur,153.3
Maharashtra,Nagpur,100.8
Maharashtra,Nagpur,96.2
Maharashtra,Nagpur,133.4
Maharashtra,Nagpur,92.2
Maharashtra,Nagpur,85.8
Maharashtra,Nagpur,77.8
Maharashtra,Nagpur,166.3
Maharashtra,Nagpur,184.4
Maharashtra,Nagpur,206.1
Maharashtra,Nagpur,162.1
Maharashtra,Nagpur,15.9
Maharashtra,Nagpur,134.4
Maharashtra,Nagpur,108.9
Maharashtra,Nagpur,227.5
Maharashtra,Nagpur,137.7
Maharashtra,Nagpur,82.6
Maharashtra,Nagpur,87.3
Maharashtra,Nagpur,41.4
Maharashtra,Nagpur,116.9
Maharashtra,Nagpur,49.3
Maharashtra,Nagpur,29.1
Maharashtra,Nagpur,78.1
Maharashtra,Nagpur,73.9
Maharashtra,Nagpur,123.2
Maharashtra,Nagpur,137.5
Maharashtra,Nagpur,120.2
Maharashtra,Nagpur,115.0
Maharashtra,Nagpur,137.6
Maharashtra,Nagpur,171.9
Maharashtra,Nagpur,75.2
Maharashtra,Nagpur,134.8
Maharashtra,Nagpur,121.1
Maharashtra,Nagpur,138.4
Maharashtra,Nagpur,111.4
Maharashtra,Nagpur,80.0
Maharashtra,Nagpur,113.7
Maharashtra,Nagpur,87.2
Maharashtra,Nagpur,75.5
Maharashtra,Nagpur,173.4
Maharashtra,Nagpur,126.8
Maharashtra,Nagpur,31.1
Maharashtra,Nagpur,10.0
Maharashtra,Nagpur,113.2
Maharashtra,Nagpur,91.5
Maharashtra,Nagpur,121.1
Maharashtra,Nagpur,130.9
Maharashtra,Nagpur,119.4
Maharashtra,Nagpur,84.9
Maharashtra,Nagpur,163.7
Maharashtra,Nagpur,67.6
Maharashtra,Nagpur,174.8
Maharashtra,Nagpur,146.2
Maharashtra,Nagpur,90.4
Maharashtra,Nagpur,139.8
Maharashtra,Nagpur,104.0
Maharashtra,Nagpur,181.5
Maharashtra,Nagpur,91.4
Maharashtra,Nagpur,156.2
Maharashtra,Nagpur,63.0
Maharashtra,Nagpur,135.2
Maharashtra,Nagpur,133.4
Maharashtra,Nagpur,148.6
Maharashtra,Nagpur,142.2
Maharashtra,Nagpur,106.3
Maharashtra,Nagpur,32.7
Maharashtra,Nagpur,59.6
Maharashtra,Nagpur,27.1
Maharashtra,Nagpur,107.9
Maharashtra,Nagpur,171.0
Maharashtra,Nagpur,86.7
Maharashtra,Nagpur,102.2
Maharashtra,Nagpur,93.4
Maharashtra,Nagpur,131.2
Maharashtra,Nagpur,127.8
Maharashtra,Nagpur,101.1
Maharashtra,Nagpur,76.3
Maharashtra,Nagpur,148.2
Maharashtra,Nagpur,169.3
Maharashtra,Nagpur,156.1
Maharashtra,Nagpur,68.4
Maharashtra,Nagpur,17.6
Maharashtra,Nagpur,109.3
Maharashtra,Nagpur,181.9
Maharashtra,Nagpur,30.4
Maharashtra,Nagpur,101.5
Maharashtra,Nagpur,192.4
Maharashtra,Nagpur,164.1
Maharashtra,Nagpur,130.4
Maharashtra,Nagpur,66.3
Maharashtra,Nagpur,187.2
Maharashtra,Nagpur,111.6
Maharashtra,Nagpur,18.8
Maharashtra,Nagpur,185.1
Maharashtra,Nagpur,73.3
Maharashtra,Nagpur,263.2
Maharashtra,Nagpur,111.8
Maharashtra,Nagpur,139.1
Maharashtra,Nagpur,124.2
Maharashtra,Nagpur,108.0
Maharashtra,Nagpur,155.7
Maharashtra,Nagpur,129.0
Maharashtra,Nagpur,122.7
Maharashtra,Nagpur,73.7
Maharashtra,Nagpur,113.3
Maharashtra,Nagpur,67.1
Maharashtra,Nagpur,138.3
Maharashtra,Nagpur,135.3
Maharashtra,Nagpur,127.9
Maharashtra,Nagpur,175.9
Maharashtra,Nagpur,156.1
Maharashtra,Nagpur,213.8
Maharashtra,Nagpur,164.3
Maharashtra,Nagpur,127.0
Maharashtra,Nagpur,106.6
Maharashtra,Nagpur,56.5
Maharashtra,Nagpur,181.9
Maharashtra,Nagpur,145.7
Maharashtra,Nagpur,99.6
Maharashtra,Nagpur,133.9
Maharashtra,Nagpur,126.1
Maharashtra,Nagpur,115.9
Maharashtra,Nagpur,161.6
Maharashtra,Nagpur,50.3
Maharashtra,Nagpur,158.4
Maharashtra,Nagpur,179.3
Maharashtra,Nagpur,69.9
Maharashtra,Nagpur,31.9
Maharashtra,Nagpur,140.9
Maharashtra,Nagpur,163.5
Maharashtra,Nagpur,80.4
Maharashtra,Nagpur,57.0
Maharashtra,Nagpur,35.4
Maharashtra,Nagpur,168.7
Maharashtra,Nagpur,115.3
Maharashtra,Nagpur,178.7
Maharashtra,Nagpur,10.0
Maharashtra,Nagpur,123.7
Maharashtra,Nagpur,170.1
Maharashtra,Nagpur,77.7
Maharashtra,Nagpur,153.3
Maharashtra,Nagpur,72.5
Maharashtra,Nagpur,77.3
Maharashtra,Nagpur,123.2
Maharashtra,Nagpur,92.7
Maharashtra,Nagpur,181.6
Maharashtra,Nagpur,120.4
Maharashtra,Nagpur,183.3
Maharashtra,Nagpur,150.3
Maharashtra,Nagpur,79.0
Maharashtra,Nagpur,130.0
Maharashtra,Nagpur,82.5
Maharashtra,Nagpur,171.9
Maharashtra,Nagpur,185.6
Maharashtra,Nagpur,42.2
Maharashtra,Nagpur,145.5
Maharashtra,Nagpur,174.5
Maharashtra,Nagpur,160.2
Maharashtra,Nagpur,115.4
Maharashtra,Nagpur,243.5
Maharashtra,Nagpur,130.6
Maharashtra,Nagpur,53.3
Maharashtra,Nagpur,151.2
Maharashtra,Nagpur,169.2
Maharashtra,Nagpur,146.6
Maharashtra,Nagpur,129.3
Maharashtra,Nagpur,57.4
Maharashtra,Nagpur,45.6
Maharashtra,Nagpur,76.4
Maharashtra,Nagpur,11.7
Maharashtra,Nagpur,188.8
Maharashtra,Nagpur,123.2
Maharashtra,Nagpur,104.9
Maharashtra,Nagpur,55.3
Maharashtra,Nagpur,62.2
Maharashtra,Nagpur,120.9
Punjab,Ludhiana,67.0
Punjab,Ludhiana,85.9
Punjab,Ludhiana,20.2
Punjab,Ludhiana,97.2
Punjab,Ludhiana,137.6
Punjab,Ludhiana,67.1
Punjab,Ludhiana,115.3
Punjab,Ludhiana,72.2
Punjab,Ludhiana,62.7
Punjab,Ludhiana,99.3
Punjab,Ludhiana,59.0
Punjab,Ludhiana,51.8
Punjab,Ludhiana,128.7
Punjab,Ludhiana,10.0
Punjab,Ludhiana,84.1
Punjab,Ludhiana,32.4
Punjab,Ludhiana,161.3
Punjab,Ludhiana,120.8
Punjab,Ludhiana,137.5
Punjab,Ludhiana,88.9
Punjab,Ludhiana,108.4
Punjab,Ludhiana,89.5
Punjab,Ludhiana,54.7
Punjab,Ludhiana,159.7
Punjab,Ludhiana,111.7
Punjab,Ludhiana,42.9
Punjab,Ludhiana,10.0
Punjab,Ludhiana,34.2
Punjab,Ludhiana,82.5
Punjab,Ludhiana,50.7
Punjab,Ludhiana,122.0
Punjab,Ludhiana,92.6
Punjab,Ludhiana,68.8
Punjab,Ludhiana,80.1
Punjab,Ludhiana,74.5
Punjab,Ludhiana,69.5
Punjab,Ludhiana,97.3
Punjab,Ludhiana,56.9
Punjab,Ludhiana,27.5
Punjab,Ludhiana,113.7
Punjab,Ludhiana,44.2
Punjab,Ludhiana,135.8
Punjab,Ludhiana,72.6
Punjab,Ludhiana,59.9
Punjab,Ludhiana,37.9
Punjab,Ludhiana,66.1
Punjab,Ludhiana,95.7
Punjab,Ludhiana,44.5
Punjab,Ludhiana,113.1
Punjab,Ludhiana,30.2
Punjab,Ludhiana,121.2
Punjab,Ludhiana,85.0
Punjab,Ludhiana,59.7
Punjab,Ludhiana,97.3
Punjab,Ludhiana,152.1
Punjab,Ludhiana,131.9
Punjab,Ludhiana,96.4
Punjab,Ludhiana,122.1
Punjab,Ludhiana,60.9
Punjab,Ludhiana,51.7
Punjab,Ludhiana,112.0
Punjab,Ludhiana,90.7
Punjab,Ludhiana,66.9
Punjab,Ludhiana,116.3
Punjab,Ludhiana,82.0
Punjab,Ludhiana,137.8
Punjab,Ludhiana,10.0
Punjab,Ludhiana,57.2
Punjab,Ludhiana,121.6
Punjab,Ludhiana,154.4
Punjab,Ludhiana,139.7
Punjab,Ludhiana,51.5
Punjab,Ludhiana,137.0
Punjab,Ludhiana,10.0
Punjab,Ludhiana,38.6
Punjab,Ludhiana,68.4
Punjab,Ludhiana,100.4
Punjab,Ludhiana,35.8
Punjab,Ludhiana,73.8
Punjab,Ludhiana,141.3
Punjab,Ludhiana,27.1
Punjab,Ludhiana,23.6
Punjab,Ludhiana,44.4
Punjab,Ludhiana,187.4
Punjab,Ludhiana,98.9
Punjab,Ludhiana,41.4
Punjab,Ludhiana,121.4
Punjab,Ludhiana,10.0
Punjab,Ludhiana,74.1
Punjab,Ludhiana,86.1
Punjab,Ludhiana,130.0
Punjab,Ludhiana,15.2
Punjab,Ludhiana,137.8
Punjab,Ludhiana,126.2
Punjab,Ludhiana,140.1
Punjab,Ludhiana,26.0
Punjab,Ludhiana,158.1
Punjab,Ludhiana,10.0
Punjab,Ludhiana,23.7
Punjab,Ludhiana,88.0
Punjab,Ludhiana,63.0
Punjab,Ludhiana,19.7
Punjab,Ludhiana,186.4
Punjab,Ludhiana,10.0
Punjab,Ludhiana,10.0
Punjab,Ludhiana,94.7
Punjab,Ludhiana,77.6
Punjab,Ludhiana,14.2
Punjab,Ludhiana,178.1
Punjab,Ludhiana,84.7
Punjab,Ludhiana,54.4
Punjab,Ludhiana,80.0
Punjab,Ludhiana,10.0
Punjab,Ludhiana,129.0
Punjab,Ludhiana,91.7
Punjab,Ludhiana,68.8
Punjab,Ludhiana,79.9
Punjab,Ludhiana,40.0
Punjab,Ludhiana,131.1
Punjab,Ludhiana,50.6
Punjab,Ludhiana,55.0
Punjab,Ludhiana,88.9
Punjab,Ludhiana,10.0
Punjab,Ludhiana,104.8
Punjab,Ludhiana,78.7
Punjab,Ludhiana,103.9
Punjab,Ludhiana,69.1
Punjab,Ludhiana,42.1
Punjab,Ludhiana,85.1
Punjab,Ludhiana,124.7
Punjab,Ludhiana,55.1
Punjab,Ludhiana,117.3
Punjab,Ludhiana,66.6
Punjab,Ludhiana,59.5
Punjab,Ludhiana,119.9
Punjab,Ludhiana,95.6
Punjab,Ludhiana,18.4
Punjab,Ludhiana,70.9
Punjab,Ludhiana,27.7
Punjab,Ludhiana,103.7
Punjab,Ludhiana,39.0
Punjab,Ludhiana,87.2
Punjab,Ludhiana,103.4
Punjab,Ludhiana,103.8
Punjab,Ludhiana,55.4
Punjab,Ludhiana,82.2
Punjab,Ludhiana,48.6
Punjab,Ludhiana,60.9
Punjab,Ludhiana,37.3
Punjab,Ludhiana,82.5
Punjab,Ludhiana,101.5
Punjab,Ludhiana,42.0
Punjab,Ludhiana,42.3
Punjab,Ludhiana,151.8
Punjab,Ludhiana,42.2
Punjab,Ludhiana,112.4
Punjab,Ludhiana,125.3
Punjab,Ludhiana,92.8
Punjab,Ludhiana,96.4
Punjab,Ludhiana,83.2
Punjab,Ludhiana,18.6
Punjab,Ludhiana,128.2
Punjab,Ludhiana,59.9
Punjab,Ludhiana,117.5
Punjab,Ludhiana,79.0
Punjab,Ludhiana,101.5
Punjab,Ludhiana,92.2
Punjab,Ludhiana,59.0
Punjab,Ludhiana,115.6
Punjab,Ludhiana,19.9
Punjab,Ludhiana,135.4
Punjab,Ludhiana,129.6
Punjab,Ludhiana,68.1
Punjab,Ludhiana,91.3
Punjab,Ludhiana,68.6
Punjab,Ludhiana,42.7
Punjab,Ludhiana,76.1
Punjab,Ludhiana,92.3
Punjab,Ludhiana,139.9
Punjab,Ludhiana,71.0
Punjab,Ludhiana,80.5
Punjab,Ludhiana,138.8
Punjab,Ludhiana,102.9
Punjab,Ludhiana,17.1
Punjab,Ludhiana,78.6
Punjab,Ludhiana,117.7
Punjab,Ludhiana,190.6
Punjab,Ludhiana,88.3
Punjab,Ludhiana,10.0
Punjab,Ludhiana,10.0
Punjab,Ludhiana,49.1
Punjab,Ludhiana,37.3
Punjab,Ludhiana,117.3
Punjab,Ludhiana,164.2
Punjab,Ludhiana,114.9
Punjab,Ludhiana,120.8
Punjab,Ludhiana,109.8
Punjab,Ludhiana,96.3
Punjab,Ludhiana,45.8
Punjab,Ludhiana,115.5
Punjab,Amritsar,63.6
Punjab,Amritsar,117.2
Punjab,Amritsar,99.5
Punjab,Amritsar,80.0
Punjab,Amritsar,46.6
Punjab,Amritsar,76.8
Punjab,Amritsar,53.8
Punjab,Amritsar,10.0
Punjab,Amritsar,30.1
Punjab,Amritsar,93.2
Punjab,Amritsar,10.0
Punjab,Amritsar,186.9
Punjab,Amritsar,57.3
Punjab,Amritsar,118.6
Punjab,Amritsar,10.0
Punjab,Amritsar,35.9
Punjab,Amritsar,127.7
Punjab,Amritsar,98.8
Punjab,Amritsar,62.2
Punjab,Amritsar,169.4
Punjab,Amritsar,16.4
Punjab,Amritsar,129.3
Punjab,Amritsar,60.7
Punjab,Amritsar,41.9
Punjab,Amritsar,10.0
Punjab,Amritsar,10.0
Punjab,Amritsar,86.3
Punjab,Amritsar,83.4
Punjab,Amritsar,45.8
Punjab,Amritsar,70.8
Punjab,Amritsar,73.3
Punjab,Amritsar,58.8
Punjab,Amritsar,35.0
Punjab,Amritsar,103.8
Punjab,Amritsar,136.1
Punjab,Amritsar,96.9
Punjab,Amritsar,99.6
Punjab,Amritsar,114.0
Punjab,Amritsar,69.5
Punjab,Amritsar,51.1
Punjab,Amritsar,10.0
Punjab,Amritsar,55.1
Punjab,Amritsar,51.6
Punjab,Amritsar,32.7
Punjab,Amritsar,90.6
Punjab,Amritsar,71.3
Punjab,Amritsar,99.2
Punjab,Amritsar,29.4
Punjab,Amritsar,11.4
Punjab,Amritsar,110.1
Punjab,Amritsar,117.2
Punjab,Amritsar,42.1
Punjab,Amritsar,63.9
Punjab,Amritsar,92.3
Punjab,Amritsar,106.1
Punjab,Amritsar,10.0
Punjab,Amritsar,124.3
Punjab,Amritsar,20.2
Punjab,Amritsar,16.9
Punjab,Amritsar,61.4
Punjab,Amritsar,60.5
Punjab,Amritsar,81.3
Punjab,Amritsar,87.1
Punjab,Amritsar,156.3
Punjab,Amritsar,39.0
Punjab,Amritsar,127.9
Punjab,Amritsar,13.5
Punjab,Amritsar,24.3
Punjab,Amritsar,37.7
Punjab,Amritsar,10.0
Punjab,Amritsar,100.1
Punjab,Amritsar,134.9
Punjab,Amritsar,120.8
Punjab,Amritsar,10.6
Punjab,Amritsar,182.6
Punjab,Amritsar,85.0
Punjab,Amritsar,149.5
Punjab,Amritsar,73.7
