State,District,Temperature,Humidity,Wind_Speed,Solar_Radiation,Sunshine_Hours
Maharashtra,Pune,14.0,70.7,11.1,22.7,7.0
Maharashtra,Pune,34.1,79.2,9.5,9.3,5.8
Maharashtra,Pune,24.8,67.4,10.8,17.1,8.7
Maharashtra,Pune,20.3,65.6,15.5,26.2,5.8
Maharashtra,Pune,27.9,68.9,15.3,22.6,7.5
Maharashtra,Pune,22.3,76.7,9.2,15.4,10.6
Maharashtra,Pune,27.8,79.9,12.0,13.4,6.7
Maharashtra,Pune,24.1,81.5,13.8,21.8,7.2
Maharashtra,Pune,25.2,60.9,12.9,19.1,9.7
Maharashtra,Pune,10.0,68.5,13.2,12.6,8.6
Maharashtra,Pune,21.3,60.5,15.6,17.0,8.7
Maharashtra,Pune,22.9,65.9,9.5,17.1,8.8
Maharashtra,Pune,27.8,76.9,12.4,22.8,8.0
Maharashtra,Pune,19.0,60.8,11.6,17.5,7.7
Maharashtra,Pune,30.0,72.8,16.9,20.0,7.2
Maharashtra,Pune,14.4,76.4,10.5,16.6,6.0
Maharashtra,Pune,23.8,64.2,17.4,24.5,6.7
Maharashtra,Pune,10.1,71.2,11.6,23.6,7.5
Maharashtra,Pune,27.8,74.9,8.7,17.0,6.8
Maharashtra,Pune,21.2,67.3,14.7,22.0,6.9
Maharashtra,Pune,25.3,58.3,14.6,23.5,7.9
Maharashtra,Pune,24.6,76.6,15.6,23.0,9.3
Maharashtra,Pune,14.1,71.3,12.4,20.6,8.9
Maharashtra,Pune,22.6,70.9,13.9,14.0,9.8
Maharashtra,Pune,21.5,84.8,9.9,16.4,7.2
Maharashtra,Pune,22.2,64.9,10.1,21.5,9.7
Maharashtra,Pune,30.3,67.1,9.3,18.9,10.1
Maharashtra,Pune,27.1,73.9,11.1,23.6,10.9
Maharashtra,Pune,21.3,50.3,9.4,20.3,7.3
Maharashtra,Pune,28.8,64.1,12.0,17.4,8.7
Maharashtra,Pune,17.7,67.7,7.9,17.9,10.0
Maharashtra,Pune,30.9,76.7,13.8,17.5,7.8
Maharashtra,Pune,22.8,70.2,14.9,16.2,11.3
Maharashtra,Pune,30.1,61.9,12.8,17.6,8.5
Maharashtra,Pune,21.6,51.2,9.7,25.3,7.2
Maharashtra,Pune,20.9,76.7,15.3,19.6,4.3
Maharashtra,Pune,18.0,48.6,8.3,20.3,7.6
Maharashtra,Pune,28.4,69.7,9.9,24.8,10.1
Maharashtra,Pune,26.6,69.3,11.6,15.2,6.3
Maharashtra,Pune,19.8,56.8,11.5,18.9,9.4
Maharashtra,Pune,13.9,71.7,8.4,12.2,6.8
Maharashtra,Pune,22.1,82.7,11.7,17.8,6.4
Maharashtra,Pune,19.4,34.8,10.0,23.2,3.8
Maharashtra,Pune,19.9,67.1,14.6,20.5,8.1
Maharashtra,Pune,18.3,52.4,10.9,19.4,9.2
Maharashtra,Pune,14.9,90.9,13.0,17.0,6.3
Maharashtra,Pune,21.2,69.3,12.5,22.6,6.5
Maharashtra,Pune,22.5,66.7,17.4,12.8,10.7
Maharashtra,Pune,17.6,59.1,11.6,20.9,7.0
Maharashtra,Pune,25.0,65.5,10.6,16.3,9.4
Maharashtra,Pune,23.9,58.4,11.1,14.7,11.6
Maharashtra,Pune,22.9,50.1,8.4,15.0,7.9
Maharashtra,Pune,13.5,56.3,11.7,19.7,6.7
Maharashtra,Pune,19.9,55.6,13.8,12.0,7.3
Maharashtra,Pune,30.9,66.3,8.3,19.5,7.0
Maharashtra,Pune,22.9,71.7,15.4,18.0,6.2
Maharashtra,Pune,17.9,63.4,13.4,14.5,6.1
Maharashtra,Pune,22.3,82.0,9.8,21.4,7.2
Maharashtra,Pune,24.5,70.6,12.6,30.2,11.9
Maharashtra,Pune,20.7,60.8,13.2,22.4,9.5
Maharashtra,Pune,10.8,65.9,11.0,16.8,5.3
Maharashtra,Pune,20.9,77.0,8.8,20.4,8.1
Maharashtra,Pune,30.2,76.4,12.2,21.2,8.6
Maharashtra,Pune,22.6,77.9,11.5,24.8,6.7
Maharashtra,Pune,18.6,65.3,9.6,23.0,5.1
Maharashtra,Pune,19.8,73.2,12.5,19.8,7.3
Maharashtra,Pune,22.8,60.0,11.1,19.0,8.2
Maharashtra,Pune,26.7,68.7,14.7,20.4,7.4
Maharashtra,Pune,25.9,55.5,13.8,17.3,9.1
Maharashtra,Pune,18.7,66.9,7.8,21.5,6.9
Maharashtra,Pune,19.3,70.3,7.5,17.2,7.2
Maharashtra,Pune,29.3,71.8,13.7,20.2,12.0
Maharashtra,Pune,26.5,49.7,13.2,24.4,5.3
Maharashtra,Pune,22.5,64.6,9.9,25.3,6.5
Maharashtra,Pune,18.7,61.0,9.2,17.8,6.6
Maharashtra,Pune,16.1,69.7,4.9,20.4,9.0
Maharashtra,Pune,19.3,73.5,11.7,29.4,9.0
Maharashtra,Pune,17.7,82.9,19.7,19.1,8.2
Maharashtra,Pune,27.1,58.8,7.0,20.6,6.3
Maharashtra,Pune,20.9,80.2,14.2,22.2,7.3
Maharashtra,Pune,18.8,62.9,17.7,29.0,9.1
Maharashtra,Pune,20.6,58.9,20.7,21.8,8.1
Maharashtra,Pune,19.0,76.9,11.9,15.8,7.0
Maharashtra,Pune,24.0,85.3,7.8,15.0,6.9
Maharashtra,Pune,17.3,70.0,11.0,20.5,7.8
Maharashtra,Pune,15.2,67.9,10.1,24.6,6.5
Maharashtra,Pune,19.5,60.9,12.4,19.4,9.7
Maharashtra,Pune,21.8,83.5,17.1,18.6,7.2
Maharashtra,Pune,19.1,57.7,19.6,17.7,6.1
Maharashtra,Pune,16.7,63.7,11.6,25.0,10.2
Maharashtra,Pune,11.6,85.9,17.5,17.5,6.1
Maharashtra,Pune,24.6,63.6,17.0,22.0,6.4
Maharashtra,Pune,23.5,70.7,6.7,16.1,6.5
Maharashtra,Pune,23.9,75.7,16.1,17.2,5.3
Maharashtra,Pune,17.8,62.9,10.1,19.9,8.5
Maharashtra,Pune,19.9,75.0,15.4,20.0,5.8
Maharashtra,Pune,20.6,80.2,14.4,15.7,9.3
Maharashtra,Pune,20.3,59.3,12.4,13.9,8.5
Maharashtra,Pune,27.7,60.0,12.0,23.5,5.5
Maharashtra,Pune,15.9,67.6,11.7,20.2,7.3
Maharashtra,Pune,15.4,53.8,8.5,22.0,8.9
Maharashtra,Pune,21.6,77.1,10.7,18.5,8.9
Maharashtra,Pune,24.3,71.8,12.1,15.4,7.6
Maharashtra,Pune,23.5,92.1,12.3,18.5,7.9
Maharashtra,Pune,29.2,73.5,12.0,16.9,6.3
Maharashtra,Pune,25.9,67.1,18.5,20.3,8.2
Maharashtra,Pune,19.2,61.8,14.8,24.8,6.0
Maharashtra,Pune,18.3,63.4,14.5,21.4,7.4
Maharashtra,Pune,18.1,86.1,15.4,12.0,8.8
Maharashtra,Pune,20.6,64.0,14.8,21.4,7.6
Maharashtra,Pune,17.5,80.1,8.8,23.1,7.6
Maharashtra,Pune,21.8,64.5,13.0,14.5,9.4
Maharashtra,Pune,20.0,63.1,11.9,18.5,9.4
Maharashtra,Pune,13.3,69.3,17.2,20.3,7.8
Maharashtra,Pune,21.9,63.5,14.1,19.2,7.7
Maharashtra,Pune,24.7,74.4,12.8,23.6,9.0
Maharashtra,Pune,25.9,80.6,16.6,15.2,11.6
Maharashtra,Pune,22.8,67.6,13.0,14.1,7.9
Maharashtra,Pune,18.0,70.7,12.9,17.6,4.8
Maharashtra,Pune,23.4,70.0,13.1,18.3,6.5
Maharashtra,Pune,20.9,71.4,14.5,16.8,8.7
Maharashtra,Pune,25.3,75.2,18.0,13.0,10.4
Maharashtra,Pune,18.7,72.4,12.6,14.6,8.3
Maharashtra,Pune,26.3,74.2,8.1,15.0,6.5
Maharashtra,Pune,28.4,71.0,6.5,28.3,9.8
Maharashtra,Pune,16.6,65.9,11.6,22.1,7.8
Maharashtra,Pune,18.6,83.1,17.7,19.8,6.6
Maharashtra,Nashik,30.0,48.1,9.8,23.9,9.6
Maharashtra,Nashik,20.4,92.8,5.2,24.4,7.6
Maharashtra,Nashik,19.6,78.8,11.3,15.7,7.7
Maharashtra,Nashik,21.7,62.2,10.8,18.3,5.1
Maharashtra,Nashik,13.5,79.3,8.2,19.9,4.7
Maharashtra,Nashik,29.5,67.3,15.9,28.5,5.6
Maharashtra,Nashik,18.6,78.7,10.6,21.2,7.7
Maharashtra,Nashik,10.3,79.4,12.1,15.2,9.8
Maharashtra,Nashik,18.5,62.4,7.1,22.4,7.6
Maharashtra,Nashik,13.3,72.5,15.0,21.8,9.5
Maharashtra,Nashik,19.0,87.7,12.5,23.2,9.4
Maharashtra,Nashik,35.2,59.2,10.3,20.8,6.9
Maharashtra,Nashik,18.0,54.8,12.9,23.2,8.0
Maharashtra,Nashik,13.9,53.9,12.7,19.0,7.0
Maharashtra,Nashik,20.6,65.0,12.9,24.4,6.1
Maharashtra,Nashik,24.3,70.8,7.2,17.4,7.5
Maharashtra,Nashik,32.8,62.7,10.7,21.7,7.3
Maharashtra,Nashik,15.7,52.6,6.9,23.4,6.0
Maharashtra,Nashik,33.8,64.7,14.8,15.4,7.8
Maharashtra,Nashik,29.1,66.5,9.2,18.5,7.2
Maharashtra,Nashik,17.1,86.5,12.6,25.1,9.1
Maharashtra,Nashik,30.5,57.4,14.4,18.0,7.3
Maharashtra,Nashik,16.6,93.3,10.3,22.6,5.6
Maharashtra,Nashik,20.7,80.6,13.5,16.2,6.4
Maharashtra,Nashik,22.8,69.8,8.6,18.5,7.3
Maharashtra,Nashik,24.8,80.1,14.5,21.4,8.0
Maharashtra,Nashik,24.4,79.6,17.6,16.1,6.8
Maharashtra,Nashik,27.1,60.0,8.6,17.4,7.6
Maharashtra,Nashik,19.6,73.7,11.6,18.6,5.0
Maharashtra,Nashik,25.0,76.1,11.9,20.6,7.7
Maharashtra,Nashik,27.3,72.2,8.5,27.6,9.4
Maharashtra,Nashik,22.2,71.5,13.4,16.9,9.2
Maharashtra,Nashik,27.1,69.1,14.5,24.2,7.8
Maharashtra,Nashik,16.8,76.9,12.7,15.6,9.1
Maharashtra,Nashik,23.2,67.7,18.7,17.8,6.1
Maharashtra,Nashik,22.8,68.4,10.8,25.6,5.8
Maharashtra,Nashik,23.5,70.9,12.5,24.6,10.6
Maharashtra,Nashik,22.0,78.9,12.6,20.3,8.2
Maharashtra,Nashik,22.8,60.9,16.5,21.8,7.4
Maharashtra,Nashik,18.9,72.9,11.8,20.7,7.2
Maharashtra,Nashik,17.8,86.1,9.7,16.9,8.5
Maharashtra,Nashik,23.5,76.6,14.0,17.0,8.5
Maharashtra,Nashik,18.8,80.5,9.5,16.8,6.4
Maharashtra,Nashik,23.6,69.5,12.8,19.5,7.4
Maharashtra,Nashik,19.6,54.9,8.3,16.8,7.0
Maharashtra,Nashik,29.3,59.8,9.2,12.7,8.3
Maharashtra,Nashik,20.9,57.1,12.4,17.7,9.4
Maharashtra,Nashik,18.6,87.0,13.0,18.4,7.1
Maharashtra,Nashik,23.5,67.3,9.7,22.5,9.0
Maharashtra,Nashik,27.1,68.4,15.8,21.3,7.1
Maharashtra,Nashik,19.2,79.2,7.5,25.6,7.7
Maharashtra,Nashik,19.0,62.9,11.2,22.8,8.0
Maharashtra,Nashik,19.7,64.6,13.4,31.0,11.6
Maharashtra,Nashik,27.3,62.3,14.8,17.0,7.2
Maharashtra,Nashik,28.8,67.6,11.7,18.0,6.3
Maharashtra,Nashik,20.7,77.4,14.5,21.2,9.3
Maharashtra,Nashik,13.4,70.5,10.4,27.9,7.1
Maharashtra,Nashik,25.7,80.0,11.4,23.7,9.1
Maharashtra,Nashik,25.9,64.8,8.2,28.6,7.1
Maharashtra,Nashik,27.0,65.4,18.8,18.0,7.7
Maharashtra,Nashik,33.6,54.0,16.1,19.9,8.6
Maharashtra,Nashik,20.3,86.4,10.1,20.1,8.9
Maharashtra,Nashik,17.9,71.3,9.4,18.4,11.4
Maharashtra,Nashik,28.7,76.7,13.6,13.7,7.2
Maharashtra,Nashik,26.6,65.6,13.6,16.0,5.9
Maharashtra,Nashik,33.4,91.3,12.2,16.9,6.1
Maharashtra,Nashik,24.0,89.3,10.4,20.8,7.7
Maharashtra,Nashik,30.3,72.8,8.3,23.0,7.8
Maharashtra,Nashik,17.7,80.6,11.6,21.3,7.7
Maharashtra,Nashik,20.5,61.9,14.2,15.1,8.9
Maharashtra,Nashik,17.7,58.4,16.7,20.4,4.6
Maharashtra,Nashik,21.9,76.1,14.4,16.9,6.6
Maharashtra,Nashik,22.8,80.4,8.6,15.0,9.6
Maharashtra,Nashik,28.1,60.6,11.3,28.4,8.8
Maharashtra,Nashik,21.8,81.4,11.1,20.6,7.0
Maharashtra,Nashik,25.5,77.0,13.2,22.0,9.2
Maharashtra,Nashik,24.3,72.3,13.8,24.8,6.1
Maharashtra,Nashik,24.1,51.1,11.7,27.5,6.3
Maharashtra,Nashik,13.8,60.5,14.6,19.5,6.0
Maharashtra,Nashik,28.0,74.3,9.0,19.1,10.7
Maharashtra,Nashik,20.5,53.1,13.9,21.5,9.5
Maharashtra,Nashik,20.0,74.4,13.2,20.0,8.0
Maharashtra,Nashik,25.0,75.5,15.3,10.9,5.3
Maharashtra,Nashik,23.1,71.2,9.4,18.7,6.3
Maharashtra,Nashik,24.9,61.1,13.1,24.1,6.2
Maharashtra,Nashik,15.3,62.4,9.9,20.2,4.9
Maharashtra,Nashik,30.0,57.4,8.5,20.2,7.3
Maharashtra,Nashik,28.9,67.3,11.6,22.6,8.9
Maharashtra,Nashik,12.3,70.7,19.0,17.5,7.7
Maharashtra,Nashik,27.1,74.9,9.3,19.7,5.6
Maharashtra,Nashik,16.7,81.1,15.1,27.1,8.9
Maharashtra,Nashik,21.3,59.9,16.7,22.5,8.7
Maharashtra,Nashik,24.9,81.9,7.9,15.1,6.2
Maharashtra,Nashik,23.8,65.4,15.9,19.9,11.0
Maharashtra,Nashik,30.6,71.4,8.4,22.8,5.8
Maharashtra,Nashik,17.1,66.1,11.3,22.2,8.0
Maharashtra,Nashik,17.0,67.0,8.4,21.6,4.7
Maharashtra,Nashik,20.8,63.5,14.1,16.8,6.2
Maharashtra,Nashik,24.0,74.5,9.4,22.4,11.2
Maharashtra,Nashik,19.6,57.7,12.7,14.5,7.1
Maharashtra,Nashik,19.5,76.9,7.2,13.7,8.1
Maharashtra,Nashik,24.7,48.5,17.1,23.5,6.5
Maharashtra,Nashik,22.5,50.3,14.6,16.6,7.0
Maharashtra,Nashik,21.5,82.1,13.9,18.6,6.6
Maharashtra,Nashik,23.1,69.1,11.8,20.0,7.1
Maharashtra,Nashik,14.2,69.4,12.4,20.5,6.0
Maharashtra,Nashik,18.0,86.4,10.3,22.0,6.3
Maharashtra,Nashik,12.5,69.0,14.3,18.7,4.5
Maharashtra,Nashik,10.8,81.5,12.5,22.4,7.8
Maharashtra,Nashik,16.2,67.4,7.4,23.8,8.0
Maharashtra,Nashik,25.7,82.9,11.4,17.0,7.3
Maharashtra,Nashik,28.3,54.3,12.6,23.2,8.0
Maharashtra,Nashik,27.4,54.6,15.8,17.5,4.4
Maharashtra,Nashik,20.4,61.6,12.0,13.9,7.3
Maharashtra,Nashik,19.1,89.9,13.0,20.9,7.2
Maharashtra,Nashik,28.2,74.9,17.0,24.2,6.9
Maharashtra,Nashik,25.6,78.1,15.3,21.6,5.5
Maharashtra,Nashik,21.9,71.1,12.7,24.6,6.5
Maharashtra,Nashik,22.7,69.3,14.6,27.2,8.4
Maharashtra,Nashik,24.8,59.8,7.9,21.0,7.2
Maharashtra,Nashik,24.3,63.9,16.7,15.2,7.2
Maharashtra,Nashik,20.0,81.0,11.8,17.7,7.6
Maharashtra,Nashik,18.1,69.8,12.1,31.6,6.8
Maharashtra,Nashik,21.6,72.2,13.3,24.2,10.4
Maharashtra,Nashik,18.0,74.4,12.0,21.3,9.2
Maharashtra,Nashik,30.1,78.7,13.4,24.1,6.2
Maharashtra,Nashik,18.4,71.7,16.0,18.8,7.2
Maharashtra,Nashik,12.1,93.9,11.8,9.0,7.8
Maharashtra,Nashik,24.4,67.7,9.8,23.6,8.7
Maharashtra,Nashik,24.6,62.4,10.7,18.6,6.9
Maharashtra,Nashik,25.1,66.1,9.7,21.7,11.1
Maharashtra,Nashik,18.1,62.9,12.1,23.0,8.3
Maharashtra,Nashik,21.4,65.6,18.8,24.6,10.1
Maharashtra,Nashik,25.5,69.1,13.7,27.2,8.3
Maharashtra,Nashik,13.4,84.0,17.0,24.9,5.5
Maharashtra,Nashik,23.9,80.3,12.5,21.5,8.3
Maharashtra,Nashik,17.9,74.7,9.5,19.6,6.6
Maharashtra,Nashik,26.4,76.7,14.2,21.1,8.2
Maharashtra,Nashik,32.0,83.2,9.6,17.9,7.2
Maharashtra,Nashik,20.8,61.7,14.3,19.8,7.8
Maharashtra,Nashik,13.5,54.3,10.9,22.4,8.2
Maharashtra,Nashik,27.0,63.0,14.6,26.1,8.9
Maharashtra,Nashik,15.5,81.1,13.5,21.8,11.2
Maharashtra,Nashik,23.2,76.3,12.8,19.0,8.0
Maharashtra,Nashik,19.8,71.5,11.6,11.7,6.8
Maharashtra,Nashik,26.8,75.2,11.8,20.4,6.3
Maharashtra,Nashik,18.5,70.1,11.9,17.0,7.4
Maharashtra,Nashik,16.4,85.7,15.2,11.3,8.8
Maharashtra,Nashik,20.1,64.5,14.8,19.4,6.9
Maharashtra,Nashik,15.4,79.2,15.6,20.6,5.8
Maharashtra,Nashik,23.5,76.4,12.4,23.5,7.8
Maharashtra,Nashik,23.5,84.8,11.0,13.7,7.2
Maharashtra,Nashik,19.2,55.8,14.4,20.0,4.8
Maharashtra,Nashik,29.7,62.7,10.7,23.8,8.1
Maharashtra,Nashik,27.5,48.2,11.6,20.5,9.5
Maharashtra,Nashik,17.8,66.6,12.9,23.0,5.8
Maharashtra,Nashik,26.1,64.1,13.6,19.2,7.9
Maharashtra,Nashik,23.1,82.8,11.8,18.8,9.1
Maharashtra,Nashik,29.0,66.0,14.6,16.6,8.5
Maharashtra,Nashik,26.6,67.2,15.8,18.9,7.5
Maharashtra,Nashik,24.0,60.4,8.4,21.1,6.4
Maharashtra,Nashik,15.9,77.7,17.1,23.4,5.7
Maharashtra,Nashik,22.9,66.9,9.9,20.3,7.4
Maharashtra,Nashik,20.8,79.9,16.4,18.7,7.2
Maharashtra,Nashik,20.8,75.1,13.5,17.2,7.3
Maharashtra,Nashik,14.5,54.3,9.0,19.0,8.4
Maharashtra,Nashik,18.1,68.7,13.2,26.1,7.6
Maharashtra,Nashik,22.5,63.9,18.0,23.1,5.8
Maharashtra,Nashik,29.5,77.2,13.2,22.6,9.2
Maharashtra,Nashik,18.2,66.1,12.4,15.0,8.6
Maharashtra,Nashik,20.6,66.1,10.6,19.9,7.7
Maharashtra,Nashik,27.0,80.2,9.1,21.8,9.3
Maharashtra,Nashik,20.9,68.3,11.3,22.2,7.9
Maharashtra,Nashik,26.9,68.9,16.3,22.4,9.3
Maharashtra,Nashik,19.0,85.7,10.8,18.0,6.9
Maharashtra,Nashik,19.5,88.9,14.1,22.0,4.7
Maharashtra,Nashik,28.4,59.6,12.4,17.2,7.9
Maharashtra,Nashik,29.7,60.4,10.3,20.6,9.9
Maharashtra,Nashik,19.9,62.8,13.0,20.0,6.0
Maharashtra,Nashik,20.0,50.3,12.4,15.0,11.2
Maharashtra,Nashik,24.8,72.5,14.1,18.0,7.3
Maharashtra,Nashik,24.5,60.2,14.5,28.4,5.3
Maharashtra,Nashik,24.7,61.8,14.6,21.4,10.3
Maharashtra,Nashik,30.5,55.5,14.8,23.0,9.3
Maharashtra,Nashik,24.4,76.0,9.4,21.7,7.2
Maharashtra,Nashik,25.4,69.1,13.8,22.5,8.5
Maharashtra,Nashik,18.3,94.2,13.3,22.5,7.6
Maharashtra,Nashik,16.5,77.8,13.3,23.6,6.5
Maharashtra,Nashik,20.3,72.7,12.6,18.9,7.9
Maharashtra,Nashik,29.1,74.6,16.0,19.3,7.6
Maharashtra,Nashik,23.2,65.6,13.3,26.3,10.1
Maharashtra,Nashik,28.9,73.1,10.3,29.8,6.7
Maharashtra,Nashik,29.6,73.7,9.4,14.1,9.6
Maharashtra,Nashik,19.1,57.4,11.7,20.0,8.1
Maharashtra,Nashik,23.6,62.7,12.5,26.9,5.9
Maharashtra,Nashik,24.4,59.5,11.3,24.5,4.4
Maharashtra,Nashik,32.5,57.1,6.5,20.1,6.9
Maharashtra,Nashik,18.9,76.4,9.7,22.3,8.7
Maharashtra,Nashik,15.1,80.3,14.8,26.2,7.5
Maharashtra,Nashik,17.8,82.5,12.6,27.3,8.6
Maharashtra,Nagpur,21.9,61.2,12.2,23.7,5.2
Maharashtra,Nagpur,20.0,53.9,9.4,17.6,7.1
Maharashtra,Nagpur,23.8,77.0,16.7,26.4,9.3
Maharashtra,Nagpur,20.1,72.3,10.8,21.0,7.3
Maharashtra,Nagpur,16.3,84.5,17.6,17.0,8.3
Maharashtra,Nagpur,18.4,69.2,10.9,17.5,7.8
Maharashtra,Nagpur,12.9,64.8,24.5,13.8,6.9
Maharashtra,Nagpur,23.4,68.2,10.2,23.9,7.7
Maharashtra,Nagpur,18.9,78.6,10.9,16.5,8.4
Maharashtra,Nagpur,15.5,87.6,17.0,22.2,6.6
Maharashtra,Nagpur,16.7,44.3,17.3,16.1,8.0
Maharashtra,Nagpur,23.0,53.3,10.7,15.5,8.7
Maharashtra,Nagpur,26.2,67.6,10.0,20.8,9.2
Maharashtra,Nagpur,14.6,91.1,11.8,19.5,9.9
Maharashtra,Nagpur,21.7,68.9,9.8,17.7,6.4
Maharashtra,Nagpur,13.2,49.2,11.8,14.5,8.5
Maharashtra,Nagpur,20.9,54.0,17.1,18.3,8.3
Maharashtra,Nagpur,30.2,69.7,12.5,25.8,7.1
Maharashtra,Nagpur,27.4,69.3,13.0,20.6,6.9
Maharashtra,Nagpur,19.3,63.5,8.6,18.2,7.1
Maharashtra,Nagpur,24.0,69.1,15.7,24.1,9.5
Maharashtra,Nagpur,21.0,64.9,8.4,25.2,5.8
Maharashtra,Nagpur,17.5,72.3,11.6,25.8,6.3
Maharashtra,Nagpur,22.1,51.5,16.2,13.3,11.2
Maharashtra,Nagpur,21.4,67.1,12.4,15.7,8.5
Maharashtra,Nagpur,20.0,66.9,16.4,13.1,7.2
Maharashtra,Nagpur,21.5,71.4,10.8,18.7,10.3
Maharashtra,Nagpur,24.5,62.2,14.5,20.2,8.6
Maharashtra,Nagpur,21.0,61.9,7.5,24.6,8.5
Maharashtra,Nagpur,23.8,76.5,16.2,13.3,7.6
Maharashtra,Nagpur,12.9,66.1,13.5,18.6,10.1
Maharashtra,Nagpur,20.5,62.3,12.6,15.9,6.2
Maharashtra,Nagpur,26.7,79.9,13.0,22.4,10.6
Maharashtra,Nagpur,21.7,61.3,14.1,23.3,8.9
Maharashtra,Nagpur,27.7,79.9,14.1,22.5,8.1
Maharashtra,Nagpur,14.1,52.8,9.3,23.3,6.8
Maharashtra,Nagpur,22.7,85.6,15.8,11.3,8.6
Maharashtra,Nagpur,22.3,63.4,11.5,18.7,5.5
Maharashtra,Nagpur,23.2,91.8,15.5,11.9,7.9
