Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_pH,Rainfall,Crop,State,District,Latitude,Longitude,Altitude,Soil_Type,Organic_Carbon,Electrical_Conductivity,Groundwater_Level,Soil_Moisture,Agro_Climatic_Zone,Water_Availability,Irrigation_Type,Season,Month,Wind_Speed,Solar_Radiation,Sunshine_Hours,NPK_Total,NPK_Ratio_N,NPK_Ratio_P,NPK_Ratio_K,Fertility_Index,Crop_Suitability_Score,Rainfall_Category,Temperature_Category
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Andhra Pradesh,Anantapur,15.362214,80.190095,189.5,Clayey,0.578,0.66,9.63,30.93,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,12.09,18.8,6.2,180,0.4333,0.3222,0.2444,42.74,54.46,High,Moderate
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Uttar Pradesh,Varanasi,27.157961,80.860205,297.9,Clayey,0.765,0.787,9.66,35.93,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,8.82,15.66,6.31,185,0.5027,0.3027,0.1946,50.78,65.13,High,Moderate
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Punjab,Patiala,30.944317,75.144066,295.7,Clayey,0.989,0.81,10.31,42.43,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,12.07,16.59,6.61,181,0.5193,0.2762,0.2044,53.2,65.02,High,Moderate
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,West Bengal,Bardhaman,23.009631,87.282271,81.9,Alluvial,0.863,0.297,4.45,30.98,Lower Gangetic Plains Region,High,Canal,Kharif,July,10.07,15.61,5.05,147,0.4082,0.3265,0.2653,44.84,71.73,High,Moderate
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,Punjab,Patiala,31.25466,75.930205,292.1,Alluvial,0.481,0.137,29.36,28.86,Trans-Gangetic Plains Region,Medium,Canal,Kharif,July,12.38,16.86,6.37,164,0.5183,0.2317,0.25,43.78,70.81,High,Moderate
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,West Bengal,Murshidabad,22.447368,87.400955,61.2,Clayey,0.624,0.312,4.08,42.66,Lower Gangetic Plains Region,Medium,Flood,Kharif,June,9.97,17.04,5.08,165,0.5515,0.2121,0.2364,45.1,66.27,High,Moderate
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,Punjab,Bathinda,30.790371,75.651262,203.4,Alluvial,0.84,0.502,24.32,33.01,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,12.66,18.94,7.73,151,0.5099,0.2517,0.2384,45.46,64.75,High,Moderate
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,Andhra Pradesh,Guntur,16.012149,79.840587,209.2,Clayey,0.469,0.72,11.89,30.51,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,9.17,18.51,5.16,163,0.5399,0.2147,0.2454,41.79,66.8,High,Moderate
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,West Bengal,Nadia,22.927512,87.413829,80.7,Clayey,0.529,0.294,2.64,31.04,Lower Gangetic Plains Region,High,Flood,Kharif,July,7.45,13.93,4.87,170,0.5235,0.2647,0.2118,46.74,63.6,High,Moderate
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,West Bengal,Bardhaman,23.334769,87.235311,97.8,Alluvial,0.725,0.521,4.15,28.84,Lower Gangetic Plains Region,High,Flood,Kharif,June,7.23,16.96,4.29,159,0.478,0.2516,0.2704,40.91,67.18,High,Moderate
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,Tamil Nadu,Madurai,12.285161,78.482672,349.9,Clayey,0.516,0.462,9.24,40.05,East Coast Plains and Hills Region,Low,Flood,Kharif,June,8.8,19.03,5.85,167,0.4012,0.3533,0.2455,43.76,65.68,High,Moderate
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,Punjab,Bathinda,31.236583,75.491051,267.7,Clayey,0.705,0.561,26.25,37.5,Trans-Gangetic Plains Region,Low,Canal,Kharif,July,10.46,17.7,7.33,167,0.497,0.2455,0.2575,47.23,74.87,High,Moderate
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,Uttar Pradesh,Lucknow,26.795937,80.013356,111.5,Alluvial,0.688,0.268,9.94,28.29,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,10.86,15.64,5.98,182,0.5385,0.2582,0.2033,47.4,70.37,High,Moderate
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,West Bengal,Bardhaman,22.826017,87.363394,42.1,Alluvial,0.776,0.359,4.02,23.56,Lower Gangetic Plains Region,Medium,Canal,Kharif,June,8.41,14.54,4.92,160,0.4125,0.3312,0.2562,42.6,62.78,High,Moderate
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,Punjab,Bathinda,31.246669,75.330559,221.9,Alluvial,0.763,0.505,25.86,30.17,Trans-Gangetic Plains Region,Low,Flood,Kharif,June,7.82,17.34,7.73,199,0.4874,0.2965,0.2161,53.88,57.64,High,Moderate
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Uttar Pradesh,Meerut,26.37198,80.588854,163.9,Alluvial,0.455,0.196,8.33,25.62,Upper Gangetic Plains Region,Medium,Flood,Kharif,June,7.94,14.51,5.73,188,0.516,0.266,0.2181,46.31,68.49,High,Moderate
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,Andhra Pradesh,Guntur,16.20048,79.351221,64.7,Alluvial,0.9,0.414,11.64,20.65,East Coast Plains and Hills Region,High,Canal,Kharif,June,13.88,19.84,5.57,153,0.3922,0.3203,0.2876,47.28,62.4,High,Moderate
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,Uttar Pradesh,Varanasi,26.044593,81.468787,164.3,Clayey,0.86,0.235,10.55,32.24,Upper Gangetic Plains Region,High,Canal,Kharif,July,5.73,15.81,6.06,170,0.4941,0.3,0.2059,49.59,65.74,High,Moderate
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,Tamil Nadu,Madurai,10.245813,77.786653,72.9,Alluvial,0.871,0.315,6.02,32.24,East Coast Plains and Hills Region,Low,Flood,Kharif,July,14.65,18.05,4.94,171,0.4269,0.3333,0.2398,48.5,60.77,High,Moderate
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,Tamil Nadu,Thanjavur,10.879315,78.208823,269.4,Alluvial,0.848,0.187,5.53,20.78,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,15.47,18.7,5.92,167,0.5509,0.2096,0.2395,49.87,65.59,High,Moderate
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,Punjab,Amritsar,31.316487,75.588851,238.5,Alluvial,0.711,0.516,24.72,30.08,Trans-Gangetic Plains Region,High,Canal,Kharif,June,13.59,17.7,6.99,161,0.528,0.2298,0.2422,47.04,79.47,High,Moderate
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,Punjab,Bathinda,31.042162,75.797431,198.8,Alluvial,0.661,0.262,25.03,22.35,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,14.36,18.26,6.48,189,0.5185,0.2804,0.2011,45.54,57.26,High,Moderate
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Uttar Pradesh,Varanasi,27.14553,79.959612,175.9,Alluvial,0.668,0.567,9.13,26.49,Upper Gangetic Plains Region,High,Flood,Kharif,June,7.82,16.04,6.14,186,0.4731,0.2903,0.2366,49.59,67.59,High,Moderate
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,West Bengal,Hooghly,22.900386,88.189558,19.2,Alluvial,0.407,0.384,7.08,32.89,Lower Gangetic Plains Region,Medium,Canal,Kharif,June,10.26,14.73,4.18,192,0.4948,0.2865,0.2188,46.38,63.25,High,Moderate
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,Andhra Pradesh,Guntur,16.066266,79.26703,212.0,Clayey,0.613,0.31,5.07,42.08,East Coast Plains and Hills Region,High,Flood,Kharif,June,8.8,17.77,5.57,191,0.5183,0.2984,0.1832,49.61,54.92,High,Moderate
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,Tamil Nadu,Salem,10.996045,78.360204,306.5,Clayey,0.53,0.39,7.08,33.25,East Coast Plains and Hills Region,High,Flood,Kharif,June,10.37,19.46,6.04,170,0.5588,0.2294,0.2118,42.91,60.97,High,Moderate
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,Punjab,Patiala,31.972378,75.25191,297.0,Alluvial,0.65,0.357,28.59,21.42,Trans-Gangetic Plains Region,High,Flood,Kharif,July,9.25,18.44,6.52,147,0.4082,0.2925,0.2993,39.91,54.31,High,Moderate
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Uttar Pradesh,Lucknow,28.048737,80.594358,237.0,Clayey,0.802,0.289,5.0,31.17,Upper Gangetic Plains Region,Medium,Flood,Kharif,June,10.38,14.52,5.12,148,0.4257,0.2973,0.277,42.39,68.87,High,Moderate
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Punjab,Patiala,31.31636,75.498551,267.1,Clayey,0.616,0.854,28.28,41.24,Trans-Gangetic Plains Region,Medium,Canal,Kharif,July,14.11,17.31,7.19,140,0.4429,0.3,0.2571,42.52,72.59,High,Moderate
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Tamil Nadu,Salem,10.768709,78.494355,125.7,Clayey,0.766,0.402,12.22,39.12,East Coast Plains and Hills Region,Medium,Flood,Kharif,July,6.54,16.33,5.24,152,0.4211,0.2961,0.2829,42.25,62.91,High,Moderate
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,Andhra Pradesh,Krishna,15.495273,78.876252,194.7,Clayey,0.964,0.551,11.99,35.92,East Coast Plains and Hills Region,High,Canal,Kharif,July,12.31,18.03,5.79,179,0.4637,0.3352,0.2011,52.77,59.63,High,Moderate
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,West Bengal,Nadia,22.548082,87.764858,17.9,Alluvial,0.712,0.312,7.52,30.01,Lower Gangetic Plains Region,High,Flood,Kharif,June,7.63,14.53,5.37,162,0.5062,0.2469,0.2469,46.75,69.67,High,Moderate
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,Uttar Pradesh,Lucknow,27.132058,80.374446,149.5,Clayey,0.61,0.898,10.48,40.39,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,8.16,16.88,6.25,182,0.467,0.2857,0.2473,46.37,65.22,High,Moderate
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,West Bengal,Nadia,22.740657,87.27588,61.8,Clayey,0.732,0.597,2.13,43.67,Lower Gangetic Plains Region,High,Flood,Kharif,July,11.21,14.46,5.7,164,0.5549,0.2134,0.2317,46.94,61.11,High,Moderate
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,Uttar Pradesh,Varanasi,26.101205,80.459047,192.1,Alluvial,0.729,0.3,6.59,29.19,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,9.48,16.81,5.38,167,0.4551,0.2934,0.2515,43.06,64.5,High,Moderate
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,Punjab,Bathinda,31.097463,75.76042,212.0,Clayey,0.894,0.488,17.58,30.51,Trans-Gangetic Plains Region,High,Canal,Kharif,July,11.31,18.95,7.05,151,0.4901,0.2583,0.2517,42.82,65.49,High,Moderate
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,Uttar Pradesh,Lucknow,27.146326,79.440073,229.0,Alluvial,0.566,0.509,9.64,33.01,Upper Gangetic Plains Region,Low,Flood,Kharif,July,5.79,16.63,6.53,161,0.4907,0.2671,0.2422,43.2,71.91,High,Moderate
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,Uttar Pradesh,Lucknow,26.965327,81.416996,164.5,Alluvial,0.636,0.439,9.4,22.59,Upper Gangetic Plains Region,High,Flood,Kharif,July,8.21,17.73,6.06,188,0.4681,0.2926,0.2394,45.59,59.17,High,Moderate
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,Punjab,Ludhiana,30.737223,74.9192,224.6,Alluvial,0.718,0.487,10.62,32.0,Trans-Gangetic Plains Region,High,Flood,Kharif,July,10.54,18.51,7.08,139,0.4317,0.259,0.3094,38.18,61.36,High,Moderate
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,Uttar Pradesh,Lucknow,27.561628,79.996671,289.8,Alluvial,0.614,0.311,6.69,26.75,Upper Gangetic Plains Region,Medium,Canal,Kharif,July,11.84,16.63,6.6,175,0.4343,0.3429,0.2229,47.65,62.45,High,Moderate
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Andhra Pradesh,Guntur,16.238742,79.845367,17.3,Clayey,0.83,0.851,7.62,39.42,East Coast Plains and Hills Region,High,Canal,Kharif,June,9.86,17.19,5.35,191,0.4869,0.2932,0.2199,50.52,67.77,High,Moderate
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,Andhra Pradesh,Anantapur,15.52807,79.522706,137.6,Clayey,0.863,0.356,10.42,33.27,East Coast Plains and Hills Region,High,Flood,Kharif,June,6.5,19.58,6.16,168,0.3869,0.3571,0.256,46.97,64.0,High,Moderate
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,West Bengal,Murshidabad,23.703244,87.472661,57.0,Clayey,0.875,0.326,2.59,37.11,Lower Gangetic Plains Region,High,Flood,Kharif,July,9.06,15.51,4.64,183,0.5191,0.2842,0.1967,49.86,56.04,High,Moderate
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,Uttar Pradesh,Lucknow,27.394377,81.166947,295.9,Alluvial,0.881,0.231,5.29,26.43,Upper Gangetic Plains Region,High,Flood,Kharif,July,8.97,14.73,6.03,152,0.4934,0.25,0.2566,47.1,67.61,High,Moderate
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,Odisha,Cuttack,20.579554,84.28475,57.2,Alluvial,0.753,0.143,4.82,25.43,East Coast Plains and Hills Region,High,Flood,Kharif,June,8.67,17.14,5.47,166,0.4458,0.3253,0.2289,46.47,68.95,High,Moderate
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,Tamil Nadu,Coimbatore,11.518187,78.739866,256.2,Clayey,0.747,0.575,8.74,36.36,East Coast Plains and Hills Region,Medium,Canal,Kharif,June,10.68,15.71,6.24,172,0.5291,0.2093,0.2616,47.22,64.3,High,Moderate
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,Punjab,Amritsar,30.970882,75.482729,230.7,Alluvial,0.401,0.488,10.77,25.78,Trans-Gangetic Plains Region,High,Flood,Kharif,July,12.87,16.29,6.28,157,0.4522,0.293,0.2548,39.39,69.38,High,Moderate
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,Tamil Nadu,Coimbatore,11.236226,79.219538,108.1,Clayey,0.745,0.499,9.54,35.85,East Coast Plains and Hills Region,High,Canal,Kharif,June,9.48,18.51,5.38,189,0.5238,0.291,0.1852,53.4,56.82,High,Moderate
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,West Bengal,Bardhaman,23.02917,87.488675,22.5,Clayey,0.845,0.758,5.86,32.86,Lower Gangetic Plains Region,High,Flood,Kharif,June,6.66,15.18,4.98,150,0.48,0.2667,0.2533,42.8,66.59,High,Moderate
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,West Bengal,Murshidabad,22.599077,87.192818,88.8,Alluvial,0.412,0.308,4.91,27.8,Lower Gangetic Plains Region,Medium,Canal,Kharif,July,10.28,13.99,5.64,186,0.4462,0.3118,0.2419,44.82,64.18,High,Moderate
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,Tamil Nadu,Thanjavur,11.07615,78.866355,425.8,Clayey,0.834,0.229,6.02,42.04,East Coast Plains and Hills Region,High,Flood,Kharif,June,7.36,17.99,5.8,189,0.4921,0.3069,0.2011,52.5,58.32,High,Moderate
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,Tamil Nadu,Madurai,11.398636,78.981082,387.1,Clayey,0.819,0.632,11.23,35.69,East Coast Plains and Hills Region,High,Flood,Kharif,July,6.13,17.95,5.67,148,0.473,0.2432,0.2838,44.6,62.06,High,Moderate
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,Andhra Pradesh,Chittoor,15.639231,78.513902,376.0,Alluvial,0.745,0.355,6.11,21.6,East Coast Plains and Hills Region,High,Canal,Kharif,July,9.84,19.64,5.66,165,0.4606,0.2848,0.2545,45.25,68.44,High,Moderate
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,Uttar Pradesh,Varanasi,25.059215,80.096105,123.9,Clayey,0.66,0.697,9.56,43.31,Upper Gangetic Plains Region,High,Canal,Kharif,June,9.53,15.94,6.7,176,0.5625,0.233,0.2045,48.81,63.15,High,Moderate
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,Odisha,Balasore,20.092671,84.07892,285.3,Clayey,0.906,0.88,9.86,35.32,East Coast Plains and Hills Region,High,Canal,Kharif,July,8.95,18.2,6.44,190,0.5211,0.2842,0.1947,51.68,55.74,High,Moderate
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,Uttar Pradesh,Lucknow,27.354407,80.093422,168.8,Alluvial,0.606,0.335,10.79,26.38,Upper Gangetic Plains Region,High,Flood,Kharif,June,10.35,15.59,5.45,180,0.4778,0.3278,0.1944,47.96,66.8,High,Moderate
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,Andhra Pradesh,Krishna,15.428023,79.432143,289.0,Alluvial,0.82,0.316,5.23,29.78,East Coast Plains and Hills Region,High,Canal,Kharif,June,6.06,19.76,5.85,156,0.4423,0.2949,0.2628,41.57,67.29,High,Moderate
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,West Bengal,Nadia,22.874091,87.192348,95.9,Clayey,0.58,0.302,3.78,42.6,Lower Gangetic Plains Region,Medium,Canal,Kharif,June,5.69,14.79,5.39,184,0.4946,0.3043,0.2011,49.51,68.23,High,Moderate
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,West Bengal,Murshidabad,22.361029,87.90421,29.1,Clayey,0.536,0.372,3.56,38.17,Lower Gangetic Plains Region,High,Flood,Kharif,June,9.39,14.54,5.18,154,0.3961,0.3377,0.2662,42.18,66.03,High,Moderate
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,Andhra Pradesh,Guntur,16.550579,79.249483,403.1,Alluvial,0.487,0.442,5.15,27.47,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,12.8,18.12,6.44,150,0.4467,0.3,0.2533,39.19,72.79,High,Moderate
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,Odisha,Ganjam,20.185615,83.965311,200.1,Alluvial,0.407,0.404,6.76,22.49,East Coast Plains and Hills Region,Medium,Flood,Kharif,June,10.6,14.93,5.59,158,0.5,0.2658,0.2342,42.72,71.58,High,Moderate
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,Odisha,Ganjam,19.649771,83.75697,76.9,Clayey,0.64,0.853,6.93,35.78,East Coast Plains and Hills Region,Medium,Flood,Kharif,June,9.34,15.75,6.83,163,0.4785,0.2638,0.2577,43.36,67.34,High,Moderate
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,Punjab,Ludhiana,31.427898,75.371213,269.7,Alluvial,0.594,0.586,18.93,25.45,Trans-Gangetic Plains Region,High,Canal,Kharif,July,6.69,17.02,6.66,165,0.4545,0.3273,0.2182,44.7,61.36,High,Moderate
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,West Bengal,Bardhaman,22.594336,87.332086,24.7,Alluvial,0.768,0.169,3.35,26.64,Lower Gangetic Plains Region,High,Canal,Kharif,July,6.76,15.95,5.61,178,0.5449,0.2022,0.2528,49.06,58.35,High,Moderate
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,Odisha,Puri,20.005242,84.394272,70.6,Alluvial,0.886,0.387,3.05,30.03,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,6.29,16.74,6.74,158,0.4241,0.2975,0.2785,43.12,58.26,High,Moderate
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,Tamil Nadu,Coimbatore,11.008375,79.223052,129.6,Alluvial,0.842,0.132,13.03,33.51,East Coast Plains and Hills Region,High,Canal,Kharif,July,9.54,19.57,6.61,146,0.5,0.2397,0.2603,40.29,61.03,High,Moderate
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,Punjab,Amritsar,31.51286,75.459851,291.1,Alluvial,0.642,0.504,26.7,28.26,Trans-Gangetic Plains Region,High,Flood,Kharif,July,7.63,17.44,7.36,150,0.5133,0.24,0.2467,43.29,63.23,High,Moderate
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,Andhra Pradesh,Krishna,16.216711,80.487839,271.3,Alluvial,0.806,0.408,6.58,30.15,East Coast Plains and Hills Region,High,Flood,Kharif,June,13.34,17.07,4.97,160,0.5062,0.2562,0.2375,44.36,67.31,High,Moderate
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Odisha,Ganjam,20.957345,83.838651,277.9,Alluvial,0.435,0.314,4.27,21.16,East Coast Plains and Hills Region,Medium,Flood,Kharif,June,10.64,17.49,5.75,168,0.4048,0.3393,0.256,41.34,55.45,High,Moderate
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,Punjab,Amritsar,31.443499,75.349511,218.6,Alluvial,0.686,0.501,26.95,34.32,Trans-Gangetic Plains Region,High,Flood,Kharif,July,13.27,19.18,7.94,152,0.4737,0.2961,0.2303,42.76,65.0,High,Moderate
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,Andhra Pradesh,Guntur,16.202497,78.848611,427.0,Clayey,0.59,0.641,5.2,40.56,East Coast Plains and Hills Region,High,Canal,Kharif,June,6.07,17.89,5.29,157,0.3885,0.3376,0.2739,44.3,65.15,High,Moderate
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,Andhra Pradesh,Anantapur,16.523606,78.979325,398.0,Alluvial,0.862,0.328,6.32,24.73,East Coast Plains and Hills Region,High,Canal,Kharif,July,10.38,17.33,6.4,149,0.4497,0.2886,0.2617,45.37,60.6,High,Moderate
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,Tamil Nadu,Coimbatore,12.589932,78.784854,238.0,Clayey,0.815,0.227,11.25,41.8,East Coast Plains and Hills Region,Medium,Flood,Kharif,June,8.99,16.76,5.42,164,0.4085,0.3537,0.2378,45.02,63.17,High,Moderate
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,Tamil Nadu,Madurai,11.075673,78.481646,225.3,Alluvial,0.598,0.214,14.85,25.31,East Coast Plains and Hills Region,Low,Flood,Kharif,July,12.3,18.19,5.41,164,0.4024,0.3659,0.2317,46.15,68.96,High,Moderate
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,Punjab,Bathinda,31.235558,75.541287,236.7,Alluvial,0.88,0.336,18.09,23.34,Trans-Gangetic Plains Region,High,Flood,Kharif,June,15.15,17.22,6.68,163,0.5031,0.2638,0.2331,44.29,74.73,High,Moderate
